平成２８年　社会医療診療行為別統計　平成２８年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第　７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,　　悪性リンパ腫,69096 ,282000 ,69096 ,2119303 ,1398209563 ,56727 ,91308 ,8416920 ,48051 ,74431 ,22964590 ,2053 ,4496 ,8643859 ,50349 ,504064 ,64163565 ,21181 ,47828 ,64757323 ,39631 ,1035158 ,27304092 ,14387 ,58490 ,206929016 ,3054 ,62928 ,13748976 ,429 ,762 ,190770 ,4179 ,14827 ,5382889 ,4114 ,12553 ,77522265 ,849 ,1286 ,5313429 ,1293 ,10035 ,15958220 ,6035 ,11406 ,8079232 ,9943 ,40714 ,110507133 ,9633 ,149008 ,758327191 ,11080 ,483435 ,318887254 
,　　白　血　病,28191 ,142505 ,28191 ,1126685 ,964726902 ,22791 ,35010 ,3258210 ,12390 ,21469 ,6516615 ,801 ,1644 ,3878771 ,23782 ,268659 ,46640671 ,5317 ,14551 ,5010857 ,19236 ,568350 ,106328794 ,5388 ,42793 ,62409188 ,1500 ,26309 ,5530555 ,237 ,476 ,114170 ,1320 ,5591 ,2348971 ,4287 ,25456 ,157821875 ,495 ,878 ,980037 ,771 ,2629 ,2532472 ,2745 ,4552 ,2791386 ,5050 ,28069 ,145699499 ,4441 ,80149 ,412863829 ,5330 ,278296 ,184841848 
,　　その他の悪性新生物,901456 ,2546984 ,901456 ,21624852 ,9993059681 ,784069 ,1205784 ,118539171 ,526120 ,811397 ,222027558 ,30359 ,69587 ,131481026 ,632148 ,4509584 ,555523195 ,240184 ,623063 ,572790690 ,518669 ,11632422 ,596702958 ,167101 ,404147 ,1307426077 ,20809 ,381194 ,84456368 ,3678 ,6498 ,1827206 ,49593 ,194294 ,112498045 ,41184 ,71205 ,1332485042 ,24182 ,54588 ,246230194 ,17292 ,161185 ,410193598 ,107471 ,204430 ,80433489 ,93283 ,380410 ,964192685 ,78381 ,914124 ,3256204975 ,98039 ,3002089 ,1968047656 
,　　良性新生物及びその他の新生物,932857 ,1579818 ,932857 ,10880465 ,3627877020 ,872430 ,1252020 ,168881519 ,249866 ,320295 ,67051344 ,9452 ,14782 ,33793191 ,522767 ,2627122 ,433639692 ,219247 ,518944 ,371168459 ,363878 ,4907732 ,140392149 ,45104 ,105872 ,193354992 ,8926 ,188680 ,44253862 ,3101 ,5118 ,1677023 ,102871 ,215016 ,61109334 ,63989 ,84023 ,785924572 ,19335 ,37451 ,161934162 ,1184 ,6122 ,16680640 ,134831 ,274229 ,99008830 ,35904 ,116904 ,305416365 ,26727 ,205921 ,743588777 ,37311 ,770291 ,495408630 
,Ⅲ　血液及び造血器の疾患並びに免疫機構の障害,491179 ,1001285 ,491179 ,11267629 ,2272980001 ,431538 ,666188 ,82634043 ,230870 ,323971 ,63487235 ,16790 ,28835 ,214637213 ,311891 ,2637449 ,267101107 ,58056 ,155785 ,64003514 ,361436 ,6697218 ,166194898 ,64633 ,178088 ,344135977 ,6788 ,130349 ,26835565 ,6173 ,14665 ,4608471 ,23683 ,113500 ,80038016 ,12542 ,35896 ,173248128 ,2745 ,4696 ,8003404 ,902 ,3252 ,4230998 ,9406 ,19003 ,7945198 ,17847 ,151341 ,274846461 ,9138 ,107243 ,490969127 ,17411 ,639355 ,407255031 
,　　貧　　血,362072 ,706265 ,362072 ,8173019 ,1104418665 ,311711 ,484604 ,61206835 ,173809 ,245064 ,45160930 ,11413 ,21627 ,37400056 ,214294 ,1660927 ,165449783 ,28987 ,77223 ,27711540 ,278985 ,5201044 ,102510572 ,49077 ,130926 ,174738550 ,3788 ,71690 ,14483683 ,5275 ,12697 ,4032621 ,16894 ,81273 ,60969703 ,9043 ,24889 ,95817427 ,1910 ,3212 ,3439226 ,522 ,1217 ,999928 ,6066 ,12577 ,4580309 ,10538 ,110903 ,186992072 ,3401 ,33113 ,118865903 ,10152 ,377172 ,236283303 
,　　その他の血液及び造血器の疾患並びに免疫機構の障害,129107 ,295020 ,129107 ,3094610 ,1168561336 ,119827 ,181584 ,21427208 ,57061 ,78907 ,18326305 ,5377 ,7208 ,177237157 ,97597 ,976522 ,101651324 ,29069 ,78562 ,36291974 ,82451 ,1496174 ,63684326 ,15556 ,47162 ,169397427 ,3000 ,58659 ,12351882 ,898 ,1968 ,575850 ,6789 ,32227 ,19068313 ,3499 ,11007 ,77430701 ,835 ,1484 ,4564178 ,380 ,2035 ,3231070 ,3340 ,6426 ,3364889 ,7309 ,40438 ,87854389 ,5737 ,74130 ,372103224 ,7259 ,262183 ,170971728 
,Ⅳ　内分泌、栄養及び代謝疾患 ,7259526 ,10920490 ,7259526 ,189335219 ,13331223897 ,7073892 ,9767805 ,1152660835 ,5384953 ,7612408 ,1425812988 ,571916 ,707610 ,1349501010 ,3965515 ,29108216 ,2737813148 ,448912 ,1091075 ,370932107 ,6390448 ,136935778 ,2182712432 ,419285 ,1044744 ,758027926 ,46085 ,652341 ,130416244 ,59855 ,123364 ,44564379 ,235139 ,1066726 ,762086156 ,25485 ,30228 ,293421592 ,36262 ,66533 ,27431935 ,1344 ,4101 ,7653856 ,60796 ,127630 ,41270709 ,64498 ,742778 ,1263375555 ,26581 ,253210 ,783175251 ,63251 ,2794341 ,1770040827 
,　　甲状腺障害,518656 ,723989 ,518656 ,13573701 ,919646057 ,503559 ,674155 ,80042294 ,341010 ,476717 ,82267673 ,12222 ,20571 ,46558454 ,340150 ,3082471 ,372800881 ,35596 ,86900 ,35852997 ,400488 ,9039515 ,110629243 ,19394 ,46764 ,56787122 ,1910 ,24151 ,5117031 ,7102 ,12984 ,4661621 ,11507 ,50879 ,26903217 ,1168 ,1317 ,12104984 ,1713 ,2900 ,4096660 ,867 ,1412 ,2080542 ,7026 ,14281 ,4121859 ,2604 ,30025 ,48119317 ,1006 ,8605 ,27501748 ,2673 ,106195 ,66757672 
,　　糖　尿　病,3088457 ,4761399 ,3088457 ,86776009 ,6763645679 ,2996089 ,4151299 ,469577790 ,2133746 ,2973807 ,573157388 ,464352 ,540395 ,885560207 ,2306070 ,17346249 ,1467398882 ,210627 ,508984 ,178146499 ,2711417 ,59461861 ,1040662782 ,137124 ,371577 ,282981531 ,20309 ,304826 ,60382881 ,17723 ,39193 ,14559428 ,93240 ,465311 ,473851586 ,15433 ,18867 ,210533976 ,14112 ,24703 ,9572461 ,203 ,1528 ,3223604 ,13159 ,27706 ,12098862 ,33149 ,393668 ,654091290 ,13759 ,145749 ,427481795 ,33401 ,1612924 ,1026824015 
,　　その他の内分泌，栄養及び代謝疾患,3652413 ,5435102 ,3652413 ,88985509 ,5647932161 ,3574244 ,4942351 ,603040751 ,2910197 ,4161884 ,770387927 ,95342 ,146644 ,417382349 ,1319295 ,8679496 ,897613385 ,202689 ,495191 ,156932611 ,3278543 ,68434402 ,1031420407 ,262767 ,626403 ,418259273 ,23866 ,323364 ,64916332 ,35030 ,71187 ,25343330 ,130392 ,550536 ,261331353 ,8884 ,10044 ,70782632 ,20437 ,38930 ,13762814 ,274 ,1161 ,2349710 ,40611 ,85643 ,25049988 ,28745 ,319085 ,561164948 ,11816 ,98856 ,328191708 ,27177 ,1075222 ,676459140 
,Ⅴ　精神及び行動の障害,3285683 ,10757793 ,3285683 ,74630365 ,11786035045 ,2991843 ,4626397 ,431341197 ,730494 ,950673 ,147254953 ,51797 ,130622 ,147715631 ,436980 ,2804520 ,279406360 ,79524 ,223821 ,99539912 ,2809368 ,52223186 ,914184032 ,101415 ,334340 ,205088988 ,73906 ,573184 ,127622902 ,2602124 ,6071564 ,2008295066 ,61617 ,690169 ,76549487 ,2486 ,3251 ,22371522 ,4587 ,8626 ,5176291 ,130 ,842 ,1567366 ,2838 ,6113 ,2299062 ,215669 ,5970713 ,7283131342 ,1686 ,10991 ,33935624 ,212480 ,17352142 ,11339132019 
,　　血管性及び詳細不明の認知症,97393 ,776408 ,97393 ,2861722 ,1018583645 ,50633 ,92608 ,10031163 ,22374 ,31257 ,6290241 ,18531 ,59796 ,58387843 ,21956 ,214238 ,19095207 ,11684 ,33095 ,20294468 ,54068 ,1438069 ,21904249 ,4944 ,39659 ,11735099 ,3165 ,53339 ,9997414 ,37661 ,176525 ,55865899 ,6498 ,108425 ,16253509 ,311 ,404 ,1270030 ,168 ,344 ,134229 ,5 ,34 ,95140 ,116 ,239 ,75656 ,21833 ,611324 ,780412775 ,220 ,2363 ,6466116 ,21215 ,1798385 ,1119773122 
,　　精神作用物質使用による精神及び行動の障害,83151 ,339149 ,83151 ,2218152 ,428449234 ,74265 ,125883 ,17183362 ,46041 ,69593 ,13554470 ,1146 ,1804 ,2951256 ,16873 ,147941 ,13293525 ,4789 ,13162 ,5412241 ,65946 ,1443683 ,27497468 ,6449 ,19443 ,4290034 ,333 ,5128 ,1015338 ,40251 ,156904 ,51346181 ,1965 ,19208 ,2330918 ,175 ,204 ,619026 ,78 ,131 ,85677 ,9 ,43 ,51566 ,179 ,366 ,160782 ,9773 ,212418 ,279600737 ,997 ,2138 ,9055883 ,8863 ,607068 ,412299719 
,　　統合失調症，統合失調症型障害及び妄想性障害,685288 ,4868370 ,685288 ,27965011 ,5877558200 ,537327 ,1072926 ,82858844 ,154959 ,212391 ,36224418 ,9788 ,23445 ,22862555 ,107776 ,812039 ,69003511 ,16851 ,50070 ,14432897 ,595825 ,18880365 ,365599793 ,45397 ,128189 ,122281788 ,3573 ,39057 ,9420971 ,643499 ,2684195 ,829958355 ,19802 ,301374 ,23946527 ,483 ,528 ,2852015 ,307 ,547 ,437294 ,8 ,63 ,83650 ,250 ,549 ,195082 ,128913 ,3758894 ,4297369635 ,1 ,2 ,8226 ,128173 ,10980790 ,7239049046 
,　　気分［感情］障害（躁うつ病を含む）,1166089 ,2385904 ,1166089 ,22419105 ,2209236027 ,1126998 ,1657879 ,144519393 ,228478 ,283827 ,31999344 ,10155 ,21298 ,25248977 ,116719 ,707045 ,68456972 ,15139 ,42658 ,19084908 ,1099431 ,17041579 ,274073345 ,18345 ,62322 ,27320098 ,3382 ,54620 ,11383410 ,1046323 ,1755988 ,605542785 ,9112 ,69141 ,8491911 ,490 ,570 ,3225282 ,1906 ,3634 ,1542210 ,36 ,239 ,364630 ,670 ,1440 ,526137 ,28460 ,712827 ,978541297 ,277 ,3558 ,8826607 ,28233 ,2045893 ,1329751254 
,　　神経症性障害，ストレス関連障害及び身体表現性障害,890306 ,1357293 ,890306 ,13126465 ,1023297899 ,874568 ,1191659 ,126371244 ,197819 ,250819 ,32454299 ,7268 ,13795 ,20039694 ,118285 ,598091 ,72299944 ,19660 ,50805 ,23089198 ,784229 ,9804425 ,146917103 ,19808 ,48510 ,24152289 ,2895 ,30070 ,6293182 ,640127 ,893817 ,318684747 ,16396 ,77569 ,10392422 ,624 ,847 ,7789899 ,1837 ,3461 ,1530669 ,48 ,341 ,716940 ,1352 ,2944 ,1103976 ,7358 ,159097 ,231460635 ,-,-,-,7151 ,439577 ,287075897 
,　　知的障害〈精神遅滞〉,34983 ,177934 ,34983 ,1029239 ,230237171 ,25322 ,38945 ,3785963 ,8871 ,11861 ,2807534 ,586 ,1134 ,1925321 ,6211 ,39453 ,4089328 ,1060 ,3187 ,872903 ,23238 ,672863 ,10506758 ,697 ,4367 ,1870014 ,4619 ,26598 ,5737828 ,18337 ,58267 ,17126131 ,1712 ,41971 ,4473272 ,35 ,42 ,166789 ,23 ,29 ,169353 ,-,-,-,12 ,25 ,9330 ,4496 ,130489 ,176696591 ,-,-,-,4411 ,376309 ,245683851 
