平成２７年　社会医療診療行為別統計　平成２７年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,　　感染症及び寄生虫症の続発・後遺症,7749 ,23092 ,7749 ,202957 ,41734803 ,6645 ,9966 ,1160691 ,3420 ,4872 ,891844 ,1032 ,2237 ,7282768 ,3016 ,25978 ,2792433 ,2856 ,7426 ,2446956 ,5213 ,123682 ,2157387 ,520 ,1956 ,1946014 ,421 ,6565 ,1365669 ,92 ,376 ,100950 ,470 ,7803 ,1653732 ,34 ,57 ,748624 ,36 ,76 ,70188 ,2 ,7 ,15750 ,79 ,174 ,57298 ,454 ,11747 ,19042332 ,-,-,-,431 ,35785 ,21860000 
,　　その他の感染症及び寄生虫症,301714 ,687415 ,301714 ,4672830 ,1418142897 ,274474 ,429964 ,82577977 ,112033 ,170404 ,33698252 ,3618 ,5744 ,15621742 ,218955 ,1145067 ,144965779 ,37952 ,103387 ,33626376 ,224568 ,2192595 ,56527801 ,20739 ,84207 ,57077893 ,6403 ,138919 ,29467317 ,718 ,1881 ,474520 ,26300 ,134177 ,40490612 ,5151 ,11882 ,76599834 ,1095 ,2135 ,9154250 ,273 ,914 ,739984 ,7117 ,13968 ,7020196 ,13999 ,110467 ,217230794 ,8995 ,126958 ,612424629 ,12864 ,538965 ,351346106 
,Ⅱ　新生物,3038579 ,7652969 ,3038579 ,63528854 ,26762908339 ,2690741 ,4154528 ,465493722 ,1500258 ,2245930 ,591717247 ,70944 ,157274 ,314398629 ,1950690 ,13214088 ,1876774076 ,868587 ,2290733 ,1811236831 ,1568841 ,33579760 ,1296812959 ,390757 ,1211879 ,3208200113 ,55420 ,935731 ,206469345 ,11523 ,20182 ,5918242 ,222437 ,754686 ,280517444 ,161464 ,267709 ,4023419812 ,70929 ,175605 ,713314772 ,33370 ,301220 ,667759939 ,397309 ,811431 ,338202413 ,253621 ,1259551 ,2883392730 ,200244 ,2146801 ,8078163475 ,265756 ,7888769 ,5201242128 
,　　胃の悪性新生物,245918 ,658498 ,245918 ,5931733 ,2084295982 ,211557 ,347178 ,36812750 ,144264 ,222526 ,56094257 ,6023 ,15930 ,29787925 ,169273 ,1185952 ,217407121 ,55232 ,157716 ,111674636 ,146275 ,3317440 ,77231881 ,29937 ,113165 ,98579922 ,4713 ,75987 ,15945783 ,786 ,1413 ,415624 ,9770 ,57525 ,20464014 ,11902 ,21955 ,420870335 ,5503 ,18469 ,65490735 ,537 ,2321 ,4164446 ,43943 ,87036 ,52637764 ,22293 ,117541 ,247857268 ,17920 ,189514 ,628856340 ,22656 ,624196 ,416820722 
,　　結腸の悪性新生物,260362 ,652625 ,260362 ,6021238 ,2252365163 ,231914 ,374352 ,42921613 ,148928 ,228981 ,58104660 ,7146 ,16326 ,28466517 ,183689 ,1269913 ,209947646 ,63722 ,179147 ,131065089 ,139639 ,3335598 ,86793870 ,29047 ,106098 ,306324815 ,4625 ,78888 ,16461923 ,876 ,1730 ,502270 ,13384 ,62375 ,26488592 ,13435 ,19645 ,368668161 ,6455 ,21171 ,73261725 ,394 ,2142 ,5167992 ,23161 ,48067 ,29299898 ,21924 ,119752 ,256665540 ,15115 ,156926 ,612167197 ,21635 ,562178 ,370432998 
,　　直腸Ｓ状結腸移行部及び直腸の悪性新生物,77898 ,271821 ,77898 ,2266449 ,1312761659 ,63152 ,104973 ,9882452 ,55617 ,89772 ,25684520 ,2658 ,5923 ,10192748 ,50034 ,382851 ,52010869 ,24728 ,72036 ,59463294 ,47921 ,1288202 ,41929795 ,13475 ,49802 ,195964300 ,2415 ,38645 ,8177048 ,273 ,523 ,136765 ,8098 ,26875 ,8000608 ,5978 ,9572 ,282732950 ,3846 ,13200 ,52612481 ,671 ,5848 ,11897802 ,6970 ,12621 ,7690453 ,11885 ,55986 ,119774023 ,9957 ,109561 ,426570294 ,12394 ,347644 ,231283822 
,　　肝及び肝内胆管の悪性新生物,83845 ,286406 ,83845 ,2685789 ,1022069737 ,68487 ,127500 ,12483740 ,53801 ,84632 ,23343184 ,3818 ,8172 ,16255228 ,59742 ,575594 ,70129332 ,29701 ,66453 ,72674581 ,51069 ,1538329 ,61830347 ,11334 ,55948 ,25977789 ,1801 ,27686 ,5786732 ,345 ,624 ,202055 ,3710 ,21733 ,13507976 ,7151 ,10075 ,226657128 ,1419 ,3702 ,14633656 ,436 ,2843 ,7513924 ,2539 ,3941 ,2103818 ,12318 ,52931 ,110794133 ,10775 ,105570 ,358127026 ,13140 ,391568 ,266849266 
,　　気管，気管支及び肺の悪性新生物,194360 ,668574 ,194360 ,5161035 ,2648546849 ,159566 ,259003 ,28812253 ,117903 ,181282 ,52331461 ,7915 ,19340 ,50966598 ,107353 ,954765 ,121261755 ,135293 ,374439 ,246505696 ,100654 ,2618043 ,115722387 ,30240 ,108578 ,305329567 ,6239 ,89650 ,19340226 ,791 ,1581 ,498645 ,9363 ,71559 ,21435089 ,4041 ,6858 ,231098672 ,2805 ,9155 ,48594385 ,3901 ,34512 ,71730396 ,13272 ,28744 ,15819185 ,27566 ,163901 ,355033341 ,21931 ,239479 ,964005395 ,29243 ,1003077 ,655363306 
,　　乳房の悪性新生物,241814 ,495132 ,241814 ,4505419 ,1787785169 ,222316 ,343465 ,33558183 ,148306 ,231749 ,65470782 ,2892 ,7546 ,13488295 ,141407 ,792309 ,106483713 ,81440 ,224877 ,171380187 ,141004 ,2486970 ,92540908 ,40382 ,92402 ,524858050 ,3751 ,32699 ,6965761 ,1122 ,1908 ,602238 ,10740 ,32986 ,8974578 ,8212 ,9345 ,230038443 ,6094 ,10282 ,51979230 ,5900 ,69462 ,109893574 ,19095 ,49634 ,31574437 ,11838 ,52656 ,110101404 ,8985 ,67091 ,229836249 ,12678 ,293011 ,189997246 
,　　子宮の悪性新生物,87906 ,189826 ,87906 ,1230615 ,563047796 ,78809 ,114237 ,12599198 ,36022 ,48060 ,14716238 ,1219 ,2988 ,5611228 ,60666 ,291970 ,48474318 ,15072 ,36211 ,38397652 ,29445 ,496795 ,10164142 ,7176 ,18068 ,23403812 ,616 ,6815 ,1429453 ,361 ,563 ,164300 ,8704 ,11597 ,2582895 ,2927 ,5030 ,84327956 ,1583 ,4295 ,17159871 ,1386 ,13802 ,35956831 ,48718 ,107652 ,22915712 ,5787 ,18206 ,44796989 ,5693 ,54256 ,200018140 ,6516 ,166390 ,109325910 
,　　悪性リンパ腫,64317 ,264609 ,64317 ,2077958 ,1268238044 ,52733 ,86254 ,7990439 ,44277 ,66621 ,20302446 ,1862 ,4086 ,7742635 ,47191 ,483766 ,59906928 ,19568 ,47140 ,62091526 ,37275 ,1052618 ,27056411 ,13270 ,62076 ,203277636 ,2514 ,47593 ,10358272 ,401 ,664 ,169000 ,4167 ,16772 ,5531237 ,3728 ,11262 ,71048014 ,805 ,1277 ,4864481 ,1203 ,9419 ,14859453 ,5560 ,10680 ,7281309 ,9404 ,52543 ,125282793 ,8343 ,125091 ,640622016 ,10252 ,451995 ,298891782 
,　　白　血　病,27641 ,141747 ,27641 ,1184826 ,953500924 ,22239 ,34249 ,3160866 ,12074 ,20213 ,5995895 ,741 ,1418 ,3041310 ,23342 ,273370 ,43323532 ,5143 ,15484 ,5155856 ,19087 ,618028 ,110063092 ,5494 ,50315 ,72249466 ,1378 ,22763 ,4789636 ,225 ,406 ,95950 ,1429 ,6574 ,2225774 ,4356 ,25896 ,161505422 ,439 ,750 ,1052970 ,818 ,2600 ,1980243 ,2588 ,4417 ,2620675 ,4949 ,35012 ,152911673 ,4007 ,73284 ,383299553 ,5221 ,279816 ,185902400 
,　　その他の悪性新生物,866055 ,2497186 ,866055 ,21839299 ,9425625386 ,749563 ,1166725 ,114774590 ,502078 ,768021 ,207003793 ,27901 ,62284 ,117932284 ,610559 ,4485157 ,536513567 ,230108 ,618480 ,554582650 ,506989 ,11952760 ,542164017 ,165956 ,444669 ,1273890668 ,18978 ,343272 ,77032793 ,3422 ,5831 ,1621370 ,51238 ,229732 ,112398632 ,39264 ,69130 ,1222596408 ,23309 ,55253 ,230875089 ,16750 ,151688 ,381647883 ,101858 ,194419 ,74666149 ,91602 ,456783 ,1045571825 ,72175 ,834362 ,2932056783 ,96023 ,2987315 ,1970069818 
,　　良性新生物及びその他の新生物,888463 ,1526545 ,888463 ,10624493 ,3444671630 ,830405 ,1196592 ,162497638 ,236988 ,304073 ,62670011 ,8769 ,13261 ,30913861 ,497434 ,2518441 ,411315295 ,208580 ,498750 ,358245664 ,349483 ,4874977 ,131316109 ,44446 ,110758 ,178344088 ,8390 ,171733 ,40181718 ,2921 ,4939 ,1510025 ,101834 ,216958 ,58908049 ,60470 ,78941 ,723876323 ,18671 ,38051 ,152790149 ,1374 ,6583 ,22947395 ,129605 ,264220 ,91593013 ,34055 ,134240 ,314603741 ,25343 ,191667 ,702604482 ,35998 ,781579 ,506304858 
,Ⅲ　血液及び造血器の疾患並びに免疫機構の障害,485687 ,1015556 ,485687 ,11502373 ,2269392881 ,422716 ,666164 ,82614024 ,229400 ,326042 ,62524935 ,15842 ,26385 ,209420797 ,307061 ,2568619 ,257416628 ,55812 ,150606 ,61167708 ,357970 ,6976017 ,151760944 ,65497 ,191396 ,315042056 ,6537 ,126349 ,26123930 ,6164 ,15556 ,5040337 ,24780 ,122022 ,91405691 ,12645 ,36209 ,174364083 ,2972 ,5268 ,9170346 ,949 ,3434 ,3778707 ,9554 ,19207 ,7571329 ,18446 ,165444 ,299126461 ,9022 ,103519 ,512389646 ,18011 ,663418 ,427564654 
,　　貧　　血,360356 ,723956 ,360356 ,8421788 ,1094436755 ,307279 ,490705 ,61901960 ,173899 ,249170 ,45365449 ,10837 ,19872 ,36227035 ,212336 ,1635504 ,160778166 ,28653 ,75708 ,27221615 ,277669 ,5442634 ,95941938 ,50199 ,140472 ,158528967 ,3688 ,70677 ,14292681 ,5284 ,13568 ,4433977 ,18116 ,88980 ,72305958 ,9170 ,25073 ,93173170 ,2103 ,3709 ,3714190 ,514 ,1043 ,506880 ,6191 ,12823 ,4495982 ,10973 ,118575 ,198129471 ,3403 ,33241 ,117107275 ,10637 ,397428 ,252117466 
,　　その他の血液及び造血器の疾患並びに免疫機構の障害,125331 ,291600 ,125331 ,3080585 ,1174956126 ,115437 ,175459 ,20712064 ,55501 ,76872 ,17159486 ,5005 ,6513 ,173193762 ,94725 ,933115 ,96638462 ,27159 ,74898 ,33946093 ,80301 ,1533383 ,55819006 ,15298 ,50924 ,156513089 ,2849 ,55672 ,11831249 ,880 ,1988 ,606360 ,6664 ,33042 ,19099733 ,3475 ,11136 ,81190913 ,869 ,1559 ,5456156 ,435 ,2391 ,3271827 ,3363 ,6384 ,3075347 ,7473 ,46869 ,100996990 ,5619 ,70278 ,395282371 ,7374 ,265990 ,175447188 
,Ⅳ　内分泌、栄養及び代謝疾患 ,7043711 ,10858733 ,7043711 ,191678257 ,13136970214 ,6863918 ,9703399 ,1141660019 ,5206693 ,7490360 ,1382691970 ,553852 ,676062 ,1346135625 ,3853561 ,28395505 ,2638127239 ,431780 ,1053717 ,354828963 ,6203338 ,140121568 ,2248742898 ,427720 ,1128066 ,679728322 ,45588 ,641890 ,129015448 ,57774 ,120268 ,43739245 ,240479 ,1101887 ,760537180 ,25323 ,29886 ,289648750 ,36734 ,68851 ,26630995 ,1437 ,3975 ,7611236 ,59736 ,125526 ,40207167 ,64969 ,774732 ,1295621895 ,25798 ,241761 ,748509597 ,63979 ,2847390 ,1830578250 
,　　甲状腺障害,497375 ,702924 ,497375 ,13347612 ,863620087 ,483226 ,653992 ,77869862 ,324037 ,457977 ,77938132 ,11410 ,18965 ,47620995 ,324954 ,2953086 ,355847759 ,33989 ,83082 ,34176794 ,383850 ,8985866 ,108230422 ,19390 ,48856 ,28974615 ,1938 ,23874 ,4997318 ,6305 ,11455 ,4080446 ,11418 ,50691 ,25622998 ,1096 ,1226 ,10864657 ,1723 ,2980 ,3770508 ,965 ,1549 ,2343978 ,7157 ,14590 ,4124809 ,2604 ,31182 ,50312200 ,954 ,8175 ,26584288 ,2675 ,107679 ,68556318 
,　　糖　尿　病,3013241 ,4769989 ,3013241 ,88540919 ,6690531979 ,2923964 ,4150548 ,468525989 ,2076815 ,2950305 ,557292452 ,451656 ,519398 ,885093397 ,2248446 ,17005520 ,1418817553 ,203519 ,492458 ,170914331 ,2649614 ,61568595 ,1069988669 ,139364 ,405320 ,249333804 ,20146 ,302334 ,60603946 ,17525 ,39538 ,14560170 ,94787 ,477139 ,469701810 ,15326 ,18357 ,208342412 ,14271 ,25260 ,9454147 ,168 ,1138 ,2399196 ,12937 ,27324 ,11893072 ,33423 ,415746 ,680510244 ,13393 ,141508 ,411523859 ,33897 ,1665855 ,1076282876 
,　　その他の内分泌，栄養及び代謝疾患,3533095 ,5385820 ,3533095 ,89789726 ,5582818148 ,3456728 ,4898859 ,595264168 ,2805841 ,4082078 ,747461386 ,90786 ,137699 ,413421233 ,1280161 ,8436899 ,863461927 ,194272 ,478177 ,149737838 ,3169874 ,69567107 ,1070523807 ,268966 ,673890 ,401419903 ,23504 ,315682 ,63414184 ,33944 ,69275 ,25098629 ,134274 ,574057 ,265212372 ,8901 ,10303 ,70441681 ,20740 ,40611 ,13406340 ,304 ,1288 ,2868062 ,39642 ,83612 ,24189286 ,28942 ,327804 ,564799451 ,11451 ,92078 ,310401450 ,27407 ,1073856 ,685739056 
,Ⅴ　精神及び行動の障害,3207345 ,10787526 ,3207345 ,77252685 ,11764070330 ,2915687 ,4593676 ,429411769 ,736489 ,962005 ,141256084 ,49345 ,120313 ,152930376 ,433876 ,2800662 ,275545063 ,79337 ,224321 ,99488146 ,2755659 ,54967548 ,982365253 ,100281 ,354883 ,186241573 ,69687 ,542216 ,120412923 ,2530172 ,5906487 ,1956481060 ,63432 ,701803 ,77073946 ,2562 ,3295 ,23149483 ,4757 ,9317 ,5400833 ,140 ,1033 ,2148750 ,2904 ,6303 ,2420322 ,217627 ,6046696 ,7277465659 ,1485 ,9673 ,29948649 ,214485 ,17556063 ,11517815838 
,　　血管性及び詳細不明の認知症,97307 ,787433 ,97307 ,2916677 ,1035919378 ,50565 ,93103 ,10152088 ,22317 ,31016 ,6106924 ,17714 ,55382 ,65647709 ,21950 ,219783 ,19332782 ,12058 ,34101 ,21698048 ,54912 ,1484436 ,22857555 ,5145 ,43700 ,13029884 ,3101 ,49091 ,9544200 ,37013 ,164914 ,52747563 ,6891 ,113326 ,16507778 ,372 ,501 ,1890233 ,132 ,288 ,150133 ,6 ,25 ,47830 ,136 ,285 ,108050 ,22258 ,624400 ,789495085 ,213 ,2162 ,5948972 ,21608 ,1840395 ,1163150282 
,　　精神作用物質使用による精神及び行動の障害,84288 ,342132 ,84288 ,2326452 ,423452395 ,75387 ,129011 ,17591395 ,48575 ,74029 ,12931983 ,1128 ,1727 ,2579513 ,16790 ,147212 ,13146949 ,4709 ,13034 ,5135434 ,68360 ,1551116 ,29455827 ,6114 ,20120 ,4923135 ,293 ,4258 ,810025 ,39087 ,151586 ,50427847 ,1972 ,19214 ,2018597 ,146 ,172 ,543996 ,79 ,132 ,54323 ,7 ,67 ,124040 ,152 ,327 ,153714 ,9559 ,212619 ,275890370 ,827 ,1744 ,7608753 ,8788 ,605324 ,412115654 
,　　統合失調症，統合失調症型障害及び妄想性障害,686107 ,4952380 ,686107 ,29167180 ,5924605161 ,537005 ,1086344 ,83964069 ,160016 ,216889 ,35414931 ,9376 ,20892 ,23519406 ,110620 ,833028 ,70594690 ,16872 ,50669 ,14773357 ,597702 ,20018224 ,406562206 ,42436 ,133954 ,106002662 ,3577 ,38447 ,9093772 ,644243 ,2627416 ,817682210 ,20359 ,305725 ,24569534 ,472 ,540 ,3454419 ,351 ,810 ,577335 ,10 ,92 ,145850 ,252 ,558 ,208608 ,131226 ,3832905 ,4327917235 ,-,-,-,130481 ,11182646 ,7388084166 
,　　気分［感情］障害（躁うつ病を含む）,1149233 ,2394126 ,1149233 ,23434144 ,2206016162 ,1110981 ,1669802 ,146401715 ,232894 ,291319 ,31889283 ,9451 ,19346 ,24191713 ,117003 ,706678 ,67854384 ,15032 ,42406 ,18719418 ,1084799 ,18053360 ,294128462 ,19188 ,67040 ,24313113 ,3488 ,56914 ,11731638 ,1027227 ,1734365 ,598847602 ,9373 ,70755 ,9366160 ,478 ,530 ,4601129 ,1934 ,3918 ,1725174 ,32 ,257 ,409410 ,704 ,1562 ,581950 ,28353 ,712002 ,962362858 ,260 ,3213 ,7909191 ,28118 ,2047549 ,1329816540 
,　　神経症性障害，ストレス関連障害及び身体表現性障害,863882 ,1338188 ,863882 ,13572189 ,1007334587 ,848611 ,1175638 ,125452725 ,198875 ,254500 ,31383270 ,7050 ,13178 ,20029593 ,116788 ,586885 ,70818624 ,19859 ,51552 ,23556509 ,761765 ,10296431 ,152982087 ,20868 ,51626 ,22215603 ,2961 ,30734 ,6306340 ,611927 ,865327 ,307680881 ,17261 ,80669 ,10436286 ,701 ,871 ,6891719 ,1961 ,3627 ,1629457 ,60 ,414 ,1113446 ,1422 ,3066 ,1167764 ,7314 ,157380 ,225251596 ,-,-,-,7092 ,430879 ,282695344 
,　　知的障害〈精神遅滞〉,31808 ,168367 ,31808 ,984481 ,220108430 ,22809 ,35253 ,3436298 ,8273 ,11022 ,2506315 ,484 ,903 ,1654298 ,5774 ,36345 ,3770731 ,934 ,2795 ,732165 ,20924 ,652232 ,10464461 ,630 ,3761 ,1907306 ,4546 ,26157 ,5641696 ,16042 ,50836 ,14879322 ,1640 ,39559 ,4189042 ,36 ,37 ,182295 ,21 ,30 ,151479 ,-,-,-,14 ,28 ,10918 ,4304 ,125487 ,170576535 ,-,-,-,4231 ,363527 ,239719692 
