平成２９年　社会医療診療行為別統計　平成２９年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報告書Ⅰ　医科診療　第　７表　医科診療　件数・診療実日数・実施件数・回数・点数，入院－入院外、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲),,
,　　感染症及び寄生虫症の続発・後遺症,6908 ,20800 ,6908 ,177847 ,38571874 ,5837 ,8551 ,985736 ,3010 ,4227 ,809982 ,930 ,2208 ,6201196 ,2599 ,23316 ,2531647 ,2538 ,6700 ,2211454 ,4480 ,105157 ,1984552 ,453 ,1627 ,2215734 ,416 ,6871 ,1450220 ,79 ,302 ,69830 ,432 ,7845 ,1612428 ,22 ,30 ,440035 ,33 ,65 ,70495 ,1 ,20 ,30410 ,84 ,184 ,64890 ,414 ,10744 ,17721773 ,-,-,-,400 ,32605 ,19239837 
,　　その他の感染症及び寄生虫症,296414 ,689466 ,296414 ,4723360 ,1482032723 ,268949 ,424998 ,81022055 ,109518 ,170888 ,36312291 ,4335 ,7277 ,18960191 ,218153 ,1282094 ,148189450 ,42359 ,113552 ,37542376 ,223198 ,2077805 ,55932692 ,20925 ,73879 ,58886007 ,7272 ,167200 ,35188050 ,757 ,1912 ,508655 ,29155 ,133552 ,43158294 ,5793 ,13097 ,85791771 ,1083 ,1997 ,9376733 ,239 ,783 ,861580 ,6479 ,12792 ,6630106 ,14765 ,106630 ,223495814 ,9581 ,134730 ,639931062 ,13418 ,555950 ,352014347 
,Ⅱ　新生物,3272245 ,8011617 ,3272245 ,64866499 ,30304681730 ,2905831 ,4462009 ,499098109 ,1619869 ,2461734 ,663799820 ,81428 ,193618 ,376782846 ,2100527 ,14101809 ,2050481633 ,953177 ,2470875 ,1976849079 ,1655535 ,33055088 ,1494277888 ,400382 ,1137453 ,4119806936 ,67570 ,1151294 ,253535384 ,12520 ,22179 ,6457005 ,230646 ,682235 ,295537998 ,183928 ,299019 ,4793179064 ,80400 ,184684 ,841822398 ,34652 ,331622 ,752619142 ,436150 ,886470 ,394290710 ,271214 ,1100861 ,2849805155 ,221174 ,2323771 ,8935619756 ,281834 ,7920656 ,5195096954 
,　　胃の悪性新生物,250693 ,650838 ,250693 ,5658320 ,2278264740 ,215378 ,353130 ,37380091 ,145705 ,228791 ,59588412 ,6704 ,18593 ,34045369 ,174337 ,1202351 ,228296902 ,56975 ,156616 ,115819299 ,142672 ,3040242 ,71561385 ,29455 ,95519 ,191034924 ,5777 ,90407 ,18879389 ,773 ,1331 ,375240 ,9610 ,45065 ,19419813 ,13086 ,23298 ,466541081 ,5947 ,18002 ,71729176 ,490 ,2490 ,4490496 ,46219 ,91624 ,57263275 ,22554 ,98670 ,230628866 ,18560 ,192064 ,671036289 ,22525 ,583519 ,388030057 
,　　結腸の悪性新生物,260159 ,656400 ,260159 ,5741187 ,2450418424 ,230990 ,373128 ,41722557 ,152842 ,237132 ,62267160 ,8015 ,19517 ,33249231 ,181204 ,1260407 ,211565739 ,66303 ,180450 ,138120546 ,137293 ,3039372 ,78790671 ,28709 ,94886 ,321065782 ,5973 ,103643 ,21460234 ,940 ,1680 ,471980 ,13028 ,52731 ,26470315 ,15916 ,22773 ,465453708 ,6902 ,21160 ,85184537 ,400 ,2151 ,5196350 ,24902 ,51739 ,32842169 ,23032 ,110661 ,265346880 ,16252 ,169619 ,660946406 ,22505 ,571986 ,374472238 
,　　直腸Ｓ状結腸移行部及び直腸の悪性新生物,80395 ,274528 ,80395 ,2206927 ,1383912289 ,65379 ,109157 ,10242102 ,57825 ,95520 ,27900979 ,3117 ,7533 ,12640912 ,51807 ,407716 ,55108677 ,26314 ,77135 ,63314954 ,47369 ,1178393 ,38870066 ,13525 ,49058 ,204320957 ,2920 ,48781 ,10128569 ,318 ,645 ,191295 ,8696 ,26787 ,8489980 ,6591 ,10533 ,321708888 ,4070 ,13107 ,59250209 ,678 ,6018 ,12449690 ,7297 ,13257 ,8521525 ,12328 ,55059 ,130637989 ,10027 ,108173 ,420134968 ,12598 ,342125 ,226610924 
,　　肝及び肝内胆管の悪性新生物,82048 ,265505 ,82048 ,2415652 ,1037899910 ,66978 ,112834 ,11122005 ,51750 ,81712 ,23396438 ,3848 ,9490 ,19052796 ,58418 ,561671 ,70740583 ,29953 ,66426 ,74811423 ,46882 ,1324125 ,64790750 ,8165 ,35292 ,21904134 ,2119 ,31734 ,6563611 ,355 ,657 ,176895 ,3180 ,19140 ,12441774 ,7263 ,10214 ,242258319 ,1436 ,3664 ,16340642 ,486 ,2927 ,10645902 ,2749 ,4218 ,2405157 ,12344 ,48397 ,113991372 ,10893 ,103062 ,347257285 ,13145 ,370738 ,251280397 
,　　気管，気管支及び肺の悪性新生物,211694 ,697048 ,211694 ,5409279 ,3332279924 ,174460 ,283298 ,30995964 ,130602 ,204575 ,60161278 ,8880 ,23534 ,60141904 ,119488 ,1071714 ,143302144 ,148398 ,415827 ,272923489 ,107111 ,2639677 ,163816131 ,32077 ,104026 ,681530401 ,7659 ,111707 ,23729535 ,848 ,1639 ,437215 ,9009 ,57346 ,20102713 ,5040 ,7820 ,319287758 ,3665 ,10861 ,67445048 ,3704 ,33975 ,76812900 ,17130 ,36234 ,26288183 ,30347 ,148205 ,355592481 ,24686 ,258619 ,1029705066 ,32020 ,1013291 ,659793524 
,　　乳房の悪性新生物,277951 ,566665 ,277951 ,5026106 ,2117550285 ,255481 ,393685 ,38683488 ,169770 ,270612 ,76721791 ,3646 ,11011 ,19998537 ,161824 ,900644 ,123189195 ,94567 ,255852 ,188836271 ,161298 ,2723475 ,91555092 ,42576 ,101908 ,616055938 ,4880 ,42175 ,8995611 ,1269 ,2164 ,704690 ,11325 ,28984 ,10430578 ,10335 ,11806 ,291106146 ,7730 ,12670 ,65948641 ,6662 ,84200 ,138502000 ,22432 ,57514 ,38219177 ,13723 ,44844 ,100779933 ,11669 ,84536 ,307822731 ,14643 ,313080 ,203362384 
,　　子宮の悪性新生物,93589 ,199197 ,93589 ,1289382 ,649636116 ,83877 ,121726 ,13206502 ,39835 ,54447 ,16915914 ,1364 ,3866 ,7349666 ,64343 ,312778 ,52439773 ,16992 ,40108 ,42793698 ,31327 ,505315 ,10911193 ,7625 ,18389 ,40964791 ,879 ,9616 ,2035514 ,379 ,612 ,172800 ,8558 ,10837 ,2616389 ,3489 ,5973 ,110264324 ,1910 ,4975 ,22631098 ,1443 ,14112 ,40257233 ,50979 ,112029 ,24617393 ,6413 ,15664 ,44741974 ,6358 ,58862 ,217717051 ,7098 ,168147 ,110517267 
,　　悪性リンパ腫,73248 ,290314 ,73248 ,2212113 ,1524935245 ,60297 ,97496 ,9000378 ,51102 ,80495 ,24888602 ,2350 ,5610 ,10226776 ,53812 ,541016 ,69198630 ,22404 ,51369 ,69061530 ,42129 ,1060102 ,32186958 ,15609 ,62220 ,242606168 ,3420 ,68905 ,14952511 ,475 ,912 ,219785 ,4704 ,14446 ,5372028 ,4296 ,13309 ,81138025 ,930 ,1535 ,5908674 ,1372 ,10828 ,18080646 ,6421 ,12293 ,8733228 ,10555 ,40374 ,120050204 ,10035 ,151114 ,813310230 ,11494 ,489114 ,322645263 
,　　白　血　病,29026 ,146493 ,29026 ,1183781 ,1010166208 ,23472 ,36630 ,3397948 ,13031 ,23147 ,7134241 ,918 ,1972 ,3965154 ,24587 ,283393 ,50254176 ,5675 ,15634 ,5449290 ,19732 ,595941 ,114311534 ,5628 ,44444 ,63359068 ,1855 ,30873 ,6418271 ,285 ,573 ,137895 ,1419 ,5962 ,2371713 ,4497 ,26514 ,163287499 ,522 ,879 ,1206019 ,788 ,2383 ,1662460 ,2862 ,4814 ,2902950 ,5205 ,28901 ,150171251 ,4504 ,81628 ,434135818 ,5506 ,284783 ,189020179 
,　　その他の悪性新生物,931645 ,2600919 ,931645 ,22323846 ,10620927265 ,811229 ,1259973 ,123953600 ,543170 ,844617 ,232842707 ,32458 ,76786 ,140993700 ,656562 ,4772720 ,587930088 ,255244 ,665249 ,612805391 ,534783 ,11863307 ,682449046 ,170170 ,420408 ,1519153976 ,22745 ,415061 ,93829750 ,3670 ,6621 ,1903230 ,51543 ,196028 ,121781984 ,44102 ,75894 ,1465668184 ,25968 ,57469 ,265638999 ,17418 ,166279 ,426718646 ,112801 ,214195 ,86490831 ,96497 ,386654 ,1013727155 ,79299 ,901965 ,3244856587 ,100550 ,2982712 ,1955294202 
,　　良性新生物及びその他の新生物,981797 ,1663710 ,981797 ,11399906 ,3898691324 ,918290 ,1320952 ,179393474 ,264237 ,340686 ,71982298 ,10128 ,15706 ,35118801 ,554145 ,2787399 ,458455726 ,230352 ,546209 ,392913188 ,384939 ,5085139 ,145035062 ,46843 ,111303 ,217810797 ,9343 ,198392 ,46542389 ,3208 ,5345 ,1665980 ,109574 ,224909 ,66040711 ,69313 ,90885 ,866465132 ,21320 ,40362 ,180539355 ,1211 ,6259 ,17802819 ,142358 ,288553 ,106006822 ,38216 ,123432 ,324137050 ,28891 ,214129 ,788697325 ,39750 ,801161 ,514070519 
,Ⅲ　血液及び造血器の疾患並びに免疫機構の障害,504299 ,1026358 ,504299 ,11555813 ,2430039398 ,443719 ,686614 ,84954836 ,236952 ,332824 ,65415227 ,18152 ,30668 ,246609465 ,321760 ,2756583 ,281559321 ,60630 ,164488 ,68870864 ,372164 ,6805963 ,163353860 ,66067 ,181101 ,388447850 ,7146 ,142083 ,29538968 ,6381 ,15614 ,5126483 ,24445 ,110460 ,75932854 ,12960 ,37767 ,190276073 ,2975 ,5229 ,9612728 ,914 ,3372 ,4236242 ,10102 ,20487 ,8808543 ,18663 ,154140 ,294801667 ,9308 ,108274 ,512402023 ,18035 ,648361 ,414079576 
,　　貧　　血,369648 ,719814 ,369648 ,8347572 ,1163610606 ,318629 ,496393 ,62723207 ,177035 ,249893 ,45916790 ,12242 ,22832 ,38793209 ,219454 ,1726426 ,172856593 ,29889 ,80480 ,29633850 ,285616 ,5283145 ,97796037 ,49920 ,131820 ,206524831 ,3878 ,74324 ,15011169 ,5421 ,13529 ,4529973 ,17411 ,79032 ,56650734 ,9348 ,26446 ,105656833 ,2012 ,3479 ,4039433 ,557 ,1329 ,873230 ,6478 ,13544 ,5101364 ,10965 ,111931 ,197810541 ,3439 ,32920 ,119657571 ,10549 ,380605 ,239445367 
,　　その他の血液及び造血器の疾患並びに免疫機構の障害,134651 ,306544 ,134651 ,3208241 ,1266428792 ,125090 ,190221 ,22231629 ,59917 ,82931 ,19498437 ,5910 ,7836 ,207816256 ,102306 ,1030157 ,108702728 ,30741 ,84008 ,39237014 ,86548 ,1522818 ,65557823 ,16147 ,49281 ,181923019 ,3268 ,67759 ,14527799 ,960 ,2085 ,596510 ,7034 ,31428 ,19282120 ,3612 ,11321 ,84619240 ,963 ,1750 ,5573295 ,357 ,2043 ,3363012 ,3624 ,6943 ,3707179 ,7698 ,42209 ,96991126 ,5869 ,75354 ,392744452 ,7486 ,267756 ,174634209 
,Ⅳ　内分泌、栄養及び代謝疾患 ,7472825 ,11278829 ,7472825 ,193077738 ,13972414455 ,7278696 ,10098386 ,1192952818 ,5551478 ,7838670 ,1475951162 ,596815 ,742614 ,1418868706 ,4112435 ,30353291 ,2858278443 ,467488 ,1141145 ,392418087 ,6587141 ,138694596 ,2238610606 ,424459 ,1043121 ,856489351 ,47975 ,721669 ,144282505 ,61173 ,124821 ,45553770 ,235679 ,1076145 ,816345461 ,26556 ,31746 ,312703670 ,36731 ,67990 ,29788125 ,1332 ,4545 ,8368692 ,61251 ,128698 ,42368496 ,66958 ,750426 ,1326779203 ,27887 ,259357 ,812013073 ,65534 ,2816069 ,1784618594 
,　　甲状腺障害,545804 ,764747 ,545804 ,14166308 ,987362924 ,529819 ,712337 ,84656729 ,360741 ,504142 ,87971569 ,13150 ,22012 ,50518209 ,360911 ,3278261 ,395574171 ,37392 ,92195 ,38306050 ,421133 ,9356739 ,114066077 ,19977 ,47379 ,72414846 ,1984 ,26183 ,5425650 ,7345 ,13544 ,4769622 ,12020 ,53247 ,28227905 ,1305 ,1448 ,13533591 ,1865 ,3237 ,4628501 ,868 ,1547 ,2426704 ,7194 ,14541 ,4255164 ,2699 ,29819 ,49647045 ,1101 ,9648 ,30879584 ,2792 ,108061 ,67962135 
,　　糖　尿　病,3178448 ,4904115 ,3178448 ,88148601 ,7043023507 ,3082985 ,4285979 ,485644585 ,2201085 ,3061093 ,592954176 ,482066 ,564526 ,922310195 ,2384779 ,18010758 ,1526479355 ,217622 ,529344 ,188270601 ,2795406 ,59865471 ,1061549809 ,137728 ,365956 ,312552718 ,20926 ,337208 ,67027604 ,18309 ,40646 ,15412213 ,94291 ,473103 ,506735368 ,15885 ,19419 ,220758124 ,14185 ,24680 ,10712540 ,188 ,1481 ,3034288 ,13223 ,27883 ,12463225 ,33933 ,395025 ,683613278 ,14051 ,145738 ,433119769 ,34073 ,1609922 ,1026228347 
,　　その他の内分泌，栄養及び代謝疾患,3748573 ,5609967 ,3748573 ,90762829 ,5942028024 ,3665892 ,5100070 ,622651504 ,2989652 ,4273435 ,795025417 ,101599 ,156076 ,446040302 ,1366745 ,9064272 ,936224917 ,212474 ,519606 ,165841436 ,3370602 ,69472386 ,1062994720 ,266754 ,629786 ,471521787 ,25065 ,358278 ,71829251 ,35519 ,70631 ,25371935 ,129368 ,549795 ,281382188 ,9366 ,10879 ,78411955 ,20681 ,40073 ,14447084 ,276 ,1517 ,2907700 ,40834 ,86274 ,25650107 ,30326 ,325582 ,593518880 ,12735 ,103971 ,348013720 ,28669 ,1098086 ,690428112 
,Ⅴ　精神及び行動の障害,3388091 ,10957050 ,3388091 ,76282380 ,12050650830 ,3089931 ,4844333 ,448132654 ,732386 ,950432 ,148192501 ,56267 ,144727 ,157401732 ,450684 ,2912688 ,289946203 ,81089 ,230286 ,105007620 ,2887580 ,53155755 ,911501819 ,103686 ,341882 ,233553503 ,77097 ,627000 ,140060868 ,2701323 ,6402133 ,2121796811 ,61260 ,701645 ,80327180 ,2577 ,3291 ,21223961 ,4390 ,8269 ,5045550 ,123 ,934 ,1913109 ,2817 ,6125 ,2359600 ,215598 ,5940383 ,7349634388 ,1594 ,10887 ,34387575 ,212406 ,17238721 ,11260775208 
,　　血管性及び詳細不明の認知症,100635 ,790027 ,100635 ,2928843 ,1055953586 ,52364 ,97471 ,10678438 ,22881 ,32213 ,6732363 ,20469 ,66983 ,62385452 ,23459 ,234223 ,20949563 ,12939 ,36624 ,23113115 ,54279 ,1439653 ,22121479 ,5063 ,40507 ,11803408 ,3357 ,60967 ,11566313 ,38071 ,190156 ,59325931 ,6501 ,109655 ,18024318 ,312 ,444 ,1644551 ,156 ,296 ,149191 ,3 ,26 ,59630 ,109 ,220 ,84650 ,22151 ,616828 ,800450047 ,227 ,2491 ,6811180 ,21568 ,1811650 ,1128947407 
,　　精神作用物質使用による精神及び行動の障害,73466 ,328245 ,73466 ,2158103 ,425517083 ,64404 ,114189 ,14752282 ,36132 ,54013 ,10813817 ,1158 ,2028 ,2460128 ,16223 ,147040 ,13167807 ,4394 ,12629 ,5213168 ,57759 ,1404522 ,24811065 ,6075 ,19752 ,4983650 ,361 ,5376 ,1086038 ,41278 ,163092 ,53618932 ,1866 ,20022 ,2193024 ,168 ,196 ,545887 ,63 ,82 ,24811 ,8 ,89 ,163480 ,129 ,274 ,128466 ,9740 ,212347 ,281662273 ,929 ,2390 ,9886206 ,8935 ,604660 ,410675328 
,　　統合失調症，統合失調症型障害及び妄想性障害,688194 ,4837007 ,688194 ,28209602 ,5882233421 ,541140 ,1103479 ,84987662 ,153895 ,211680 ,36135642 ,10595 ,25426 ,24167469 ,107271 ,821830 ,69604273 ,16886 ,51107 ,15296763 ,597109 ,19044234 ,345728071 ,47801 ,132808 ,143168575 ,3490 ,43315 ,10467787 ,646322 ,2779933 ,858453513 ,19424 ,300124 ,24456418 ,516 ,601 ,3360838 ,305 ,506 ,518512 ,11 ,111 ,147718 ,249 ,565 ,213344 ,126981 ,3693331 ,4265516548 ,1 ,1 ,2551 ,126231 ,10779446 ,7102652420 
,　　気分［感情］障害（躁うつ病を含む）,1194202 ,2453898 ,1194202 ,22835101 ,2270716614 ,1154400 ,1725671 ,149370952 ,230101 ,285722 ,32499309 ,10766 ,23157 ,27010461 ,119596 ,727004 ,70163790 ,15053 ,42062 ,19196564 ,1124846 ,17276881 ,280621115 ,18077 ,61710 ,29598524 ,3352 ,55260 ,11542744 ,1077908 ,1845069 ,638178259 ,8944 ,71604 ,9151918 ,453 ,473 ,3440367 ,1756 ,3384 ,1498135 ,20 ,163 ,474033 ,698 ,1507 ,583744 ,28587 ,712305 ,990768238 ,221 ,2624 ,6591164 ,28319 ,2045265 ,1330596941 
,　　神経症性障害，ストレス関連障害及び身体表現性障害,932896 ,1436196 ,932896 ,13637624 ,1084511852 ,916291 ,1263912 ,132439729 ,202195 ,256238 ,33064650 ,7608 ,14500 ,19996971 ,123663 ,628944 ,75530507 ,19373 ,50775 ,23325682 ,821069 ,10124568 ,153917696 ,19769 ,48354 ,26605994 ,3209 ,33903 ,7098308 ,681400 ,969083 ,346506291 ,16307 ,74056 ,9386291 ,701 ,915 ,7856108 ,1806 ,3472 ,1523713 ,55 ,386 ,759086 ,1393 ,3062 ,1167334 ,7738 ,165235 ,245295067 ,2 ,12 ,36878 ,7468 ,455345 ,297394434 
,　　知的障害〈精神遅滞〉,38415 ,188500 ,38415 ,1139641 ,249225314 ,28099 ,43318 ,4183063 ,9742 ,13113 ,3149776 ,798 ,1590 ,2724588 ,6748 ,42844 ,4483665 ,1081 ,3401 ,1007281 ,25353 ,751807 ,11539873 ,734 ,4508 ,2280138 ,5072 ,30482 ,6575831 ,20499 ,64843 ,19004146 ,1836 ,47746 ,5191592 ,39 ,53 ,316513 ,39 ,51 ,258937 ,-,-,-,20 ,47 ,17728 ,4705 ,135834 ,188492155 ,-,-,-,4627 ,393096 ,256425851 
