平成２６年,社会医療診療行為別調査,平成２６年６月審査分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１４表　医科診療（入院－１総数）　件数・診療実日数・実施件数・回数・点数，一般医療－後期医療、傷病（中分類）、診療行為（大分類）別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：１）「件数」は、明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：２）「実施件数」は、当該診療行為が実施された明細書の数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：４）総数には、「療養担当手当等」、「合算薬剤料」、「補正点数」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：５）総数には、入院時食事療養等を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：６）総数には、「ⅩⅩ　傷病及び死亡の外因」、「ⅩⅩⅠ　健康状態に影響を及ぼす要因及び保健サービスの利用」、「ⅩⅩⅡ　特殊目的用コード」、「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,件数,診療実日数,総数,,,初   ・  再 診,,,医 学 管 理 等,,,在　宅　医　療,,,検　　　　　査,,,画　像　診　断,,,投　　　　　薬,,,注　　　　　射,,,リハビリテーション,,,精神科専門療法,,,処　　　　　置,,,手　　　　　術,,,麻　　　　　酔,,,放 射 線 治 療,,,病  理  診  断,,,入  院  料  等,,,診断群分類による包括評価等,,,入院時食事療養等(別掲：円),,
　　感染症及び寄生虫症の続発・後遺症,447,11684,447,61777,23504743,28,28,10591,152,342,122030,11,13,98462,209,4942,434237,155,721,203562,270,30728,449194,93,1316,568223,207,4535,948987,41,388,64975,222,7012,1718061,14,32,185579,6,12,24298,-,-,-,10,27,8220,447,11681,18668324,-,-,-,423,35348,21725350
　　その他の感染症及び寄生虫症,15279,228953,15279,1180283,983480011,2835,2838,1160516,8225,17177,5730807,435,434,1437309,8687,184944,16968117,7073,24678,7455063,7448,440160,9043024,5484,53562,30496739,5546,138189,29032155,309,980,222645,4736,78087,31412679,2949,9255,73000106,786,1712,9220139,248,672,342518,1421,2021,871100,13413,105576,206044585,8579,119895,561031062,12380,513020,334095188
Ⅱ　新生物,284148,3454963,284148,16460319,17727896412,12909,12921,4219789,202067,453177,161885832,6270,6203,20164126,110158,1524447,200499274,89267,280452,110014439,154050,8129511,228593782,97604,627241,509847811,42348,865386,191822322,2888,8889,1965010,39580,446632,86519376,106265,203748,4065069263,66881,177822,769151190,17637,149067,334569269,92395,141670,91781701,256262,1223668,2737486377,205607,2207798,8213900029,268775,7913853,5221768438
　　胃の悪性新生物,25977,319551,25977,1550131,1561375112,1369,1369,442832,19577,45475,14795615,475,487,1806800,12437,152640,21758788,7708,30790,9810845,15251,756062,20082150,9404,69587,32072316,4012,72551,15250437,226,688,154625,3710,46433,7431945,10667,20950,453654119,5228,19061,72746086,404,1549,1928360,9165,13912,8632458,23558,120092,245057105,19077,198421,655739689,23839,641461,428964970
　　結腸の悪性新生物,24128,276950,24128,1485259,1450017816,1615,1617,536933,16831,39193,13754746,442,439,1252024,11561,159449,22063914,7846,35357,11588786,13136,737168,15871648,9039,62812,45528231,3942,77502,16282842,205,819,167470,3931,47760,9472573,8620,15019,363687412,6006,21132,78820178,255,1019,1529384,7611,11704,6613928,21953,119271,248694658,15216,154914,614141148,21843,553378,364530354
　　直腸Ｓ状結腸移行部及び直腸の悪性新生物,13607,168011,13607,876460,996805590,547,548,174854,10612,25435,8897307,348,352,840339,5646,69986,8914986,4055,16631,5416010,8034,474816,11889420,5057,31908,31299406,1962,35749,7566109,111,318,76180,1861,21954,3711574,5244,9072,302522440,3963,14235,56857232,358,2408,4517806,3935,5709,3271458,12043,56393,118707796,10193,110869,432134522,12553,348177,231736062
　　肝及び肝内胆管の悪性新生物,14443,170501,14443,945937,837047672,578,578,197270,10768,23145,7835072,433,394,1179130,5128,81901,8803961,6486,12297,8203160,8041,565416,17778088,3144,26425,10160301,1582,27583,5743056,119,454,104010,2218,18361,4702879,7529,10771,252495175,1370,3683,17341942,340,2052,4363020,1905,2427,1363065,13069,57174,114771672,11395,113156,381996325,13959,416504,284541210
　　気管，気管支及び肺の悪性新生物,30504,403879,30504,2022530,1849080935,1316,1318,418197,22044,51918,18829357,978,1006,4854004,14195,194382,32180326,12107,42502,15855361,17498,1057718,32545929,13388,66012,56786961,4976,81534,17719227,309,755,160010,4590,63315,11520807,3653,6204,239287257,2538,9258,52086477,2815,28013,49062498,7882,15294,8894730,27356,159024,337264056,22053,244167,971614860,29123,1000199,653686838
　　乳房の悪性新生物,12848,118368,12848,562729,704871789,233,233,70949,10364,23404,8941243,141,142,493681,3561,38397,3881710,3238,7388,3019691,7070,277684,7052852,4380,14156,30407794,2240,27566,6006208,120,547,123890,2249,20351,2463242,6495,7579,232066475,5897,10322,54839998,423,4687,7183954,5867,12156,12305733,11860,50250,100693335,9114,67853,235316878,12556,288793,187633628
　　子宮の悪性新生物,6845,74664,6845,323307,401752147,163,163,53696,5199,11304,4065227,170,170,425812,1639,18221,1834721,1339,2902,1141898,4064,172767,3164381,3431,10140,4617406,441,5979,1288371,89,269,75345,581,4411,765958,2166,4339,91083334,1658,4707,19175282,906,10094,23926345,1969,3483,2025547,5772,18738,45052924,5729,55540,202749496,6509,169273,111355144
　　悪性リンパ腫,10220,172737,10220,813566,927296153,495,497,155423,8131,20491,7385318,181,176,391919,4572,84129,9798871,4151,9370,4249964,5876,404161,10189996,6551,41475,53831527,2088,46833,10311100,149,391,81870,1115,12376,2697622,3026,10484,70270255,659,1159,4949306,783,5438,7936674,2789,3888,2261826,8914,46377,108960686,8294,126232,633821282,9853,436515,288598298
　　白　血　病,5128,100719,5128,505165,719535489,391,391,125291,3567,8945,3600350,114,92,340510,3011,74007,9253958,2091,7334,1951033,2842,222813,14915106,3163,39880,51223368,985,17519,3628055,120,324,67980,732,4985,1360204,3379,22446,143370712,354,675,828660,688,2346,1818036,1763,2654,1404980,4685,32194,139428840,3793,68510,346348984,4950,260329,172940762
　　その他の悪性新生物,102555,1312161,102555,5787396,6277336203,4468,4471,1409175,71423,157309,56372741,2672,2652,7560807,37050,504718,62855981,31607,89682,36160972,53582,2776303,80255974,33764,222508,161068513,15401,315565,70489533,1184,2888,645155,13625,157823,32327661,34194,63291,1258932036,22557,55637,244981321,10025,88652,218608204,29635,43034,27667549,92276,426576,964341475,74936,875557,3053439823,96947,3009352,1986517440
　　良性新生物及びその他の新生物,37893,337422,37893,1587839,2002777506,1734,1736,635169,23551,46558,17408856,316,293,1019100,11358,146617,19152058,8639,26199,12616719,18656,684603,14848238,6283,42338,32851988,4719,157005,37537384,256,1436,308475,4968,48863,10064911,21292,33593,657700048,16651,37953,166524708,640,2809,13694988,19874,27409,17340427,34776,137579,314513830,25807,192579,686597022,36643,789872,511263732
Ⅲ　血液及び造血器の疾患並びに免疫機構の障害,22946,287676,22946,1655577,1102437925,2691,2694,967942,10704,22393,7875087,405,372,2516577,14086,234938,25147068,7730,29074,8858900,15031,794175,15591162,8864,71496,65205507,4637,122319,25603265,623,5057,929235,5889,70607,21876375,7617,25501,138335975,1446,2530,8445898,510,1499,924794,2606,3937,1981643,18248,165307,289705511,9024,103522,488458301,17896,665398,429519668
　　貧　　血,14572,168844,14572,1026779,459734472,1459,1461,498214,5772,11947,4343256,209,191,611546,9649,142897,15491001,4227,17872,5356499,10700,521449,8570452,6252,43755,20172929,2400,68193,14058537,462,4193,741435,4165,43598,12500509,5225,16525,70544304,914,1462,3276991,250,581,171250,1203,1894,949140,10748,118102,190799095,3351,32586,111646481,10443,393755,249568680
　　その他の血液及び造血器の疾患並びに免疫機構の障害,8374,118832,8374,628798,642703453,1232,1233,469728,4932,10446,3531831,196,181,1905031,4437,92041,9656067,3503,11202,3502401,4331,272726,7020710,2612,27741,45032578,2237,54126,11544728,161,864,187800,1724,27009,9375866,2392,8976,67791671,532,1068,5168907,260,918,753544,1403,2043,1032503,7500,47205,98906416,5673,70936,376811820,7453,271643,179950988
Ⅳ　内分泌、栄養及び代謝疾患 ,70035,1038750,70035,6197131,2688792651,8574,8583,3250612,37047,89602,26746224,7837,7204,19316771,34651,933764,67594644,26412,101957,33063716,41621,3000304,50195041,22016,227173,96421946,18362,495438,103570604,2980,27135,5442238,17496,262215,72610006,6647,10778,175549948,3679,5784,16501028,210,967,1916204,3323,5841,3138288,65806,767805,1245529837,26735,252306,767914107,65160,2865274,1845250488
　　甲状腺障害,2889,40537,2889,256321,109456480,321,321,108432,1563,3518,1374982,43,44,129006,1664,37007,3739561,1106,4825,1566671,1940,128617,2032003,919,7434,3086528,604,18121,3748054,202,1668,353535,807,12568,2806861,523,662,8864753,458,768,3744351,98,387,545002,488,805,492860,2597,30806,48858851,970,8770,28004886,2656,107530,68372030
　　糖　尿　病,37216,584604,37216,3402973,1458548961,2941,2948,976948,21532,57900,16055056,6975,6389,16693672,16611,546847,33252228,12532,43546,14857544,21895,1688677,27577441,9881,111770,28823853,9694,241540,50038154,1271,10805,2146643,7828,108798,41052720,3643,5552,112828158,2155,3023,5981635,30,153,178162,1371,2371,1178930,34847,418726,667684700,14454,153778,439212074,35635,1715641,1111200010
　　その他の内分泌，栄養及び代謝疾患,29930,413609,29930,2537837,1120787210,5312,5314,2165232,13952,28184,9316186,819,771,2494093,16376,349910,30602855,12774,53586,16639501,17786,1183010,20585597,11216,107969,64511565,8064,235777,49784396,1507,14662,2942060,8861,140849,28750425,2481,4564,53857037,1066,1993,6775042,82,427,1193040,1464,2665,1466498,28362,318273,528986286,11311,89758,300697147,26869,1042103,665678448
Ⅴ　精神及び行動の障害,220970,6143125,220970,23645621,8380053082,4986,4990,1960257,47971,105956,38976818,416,374,661895,91448,980980,81829758,27932,100190,29423645,114311,12925195,264984588,25397,208398,74024880,11840,298173,63168275,190902,2279216,444437690,34291,600093,53645948,1463,2248,18411458,602,1368,2006374,53,282,775210,473,1063,462188,220442,6126217,7274241123,1445,10174,30985579,217453,17825591,11694720348
　　血管性及び詳細不明の認知症,22991,646738,22991,1753175,892540423,733,734,212617,2369,4932,1782598,37,32,72323,5801,97365,7224073,3433,13196,4251457,6725,666639,8696385,2397,37947,10685265,2705,49663,9519050,12917,123283,22840950,4628,112252,11217519,241,348,1348755,27,87,109054,1,13,18940,52,104,36850,22975,644394,808558663,199,2158,5963819,22311,1900770,1205348514
　　精神作用物質使用による精神及び行動の障害,9431,214158,9431,966454,317480712,1373,1374,795653,2719,5410,1722947,34,29,63499,4699,67171,5227316,1796,5856,1913547,5231,550087,8119198,1749,14779,2777101,202,3813,763912,7756,86706,17596815,1208,16939,1394955,81,117,606254,21,42,32447,1,2,1680,46,102,50770,9382,212483,269757547,728,1515,6656641,8653,606523,412595288
　　統合失調症，統合失調症型障害及び妄想性障害,133943,3911676,133943,14931349,5013988474,1018,1018,326306,29456,66598,24838855,131,112,130082,58263,509642,42246903,12988,41736,10232890,71622,8351144,192035644,14145,88996,38243983,2605,40991,8349285,128851,1622301,307383663,18654,299442,21636285,445,560,4311507,173,424,502323,10,66,152550,115,271,106868,133761,3907659,4363451222,-,-,-,133028,11406867,7537565324
　　気分［感情］障害（躁うつ病を含む）,28691,715665,28691,3188552,1095733841,834,835,260569,7338,16398,5856522,106,98,136901,11912,148381,13048972,4758,17754,6150753,16598,1888581,31813169,3138,27690,7533286,2501,56241,11547981,24407,261724,59417889,4142,54987,5456019,221,341,2757226,157,387,385114,9,28,102280,96,216,94394,28556,710547,941010812,354,4142,10148927,28354,2058327,1334784074
　　神経症性障害，ストレス関連障害及び身体表現性障害,7303,154651,7303,756394,261018645,472,472,188379,1910,4011,1423979,43,40,82712,3481,50462,5234070,1720,7773,2593181,4540,442217,6883711,1478,10512,4827932,662,18970,3925020,5132,52481,11340678,1229,14475,2389062,198,364,5050400,121,240,419832,21,111,436030,80,181,86238,7254,154085,216137115,-,-,-,7059,426537,279422558
　　知的障害〈精神遅滞〉,4161,121365,4161,493560,181990714,36,36,10152,924,1745,720435,1,1,2402,1785,18412,1606601,522,1777,406960,2329,269818,4568667,374,2942,1094397,788,9912,1978550,2424,29576,5636440,1318,38031,4117091,14,14,43485,9,18,45993,-,-,-,6,14,6180,4146,121264,161753359,-,-,-,4074,350895,231472008
　　その他の精神及び行動の障害,14450,378872,14450,1556137,617300273,520,521,166581,3255,6862,2631482,64,62,173976,5507,89547,7241823,2715,12098,3874857,7266,756709,12867814,2116,25532,8862916,2377,118583,27084477,9415,103145,20221255,3112,63967,7435017,263,504,4293831,94,170,511611,11,62,63730,78,175,80888,14368,375785,513572405,164,2359,8216192,13974,1075672,693532582
Ⅵ　神経系の疾患,123278,2682672,123278,12156665,5796506351,9138,9155,3562040,38712,80460,28594122,2135,2210,7907299,46386,743071,73932929,34611,117979,43164529,56444,5453505,101126763,18045,206126,88276129,46786,1527908,353961317,25586,241144,46391933,35926,1080579,205328302,6307,9411,194226606,4624,7961,36933651,100,596,1613818,2109,3070,1297905,120800,2461074,3775634731,22760,211934,834510801,112302,7662141,4822160360
　　パ－キンソン病,15747,407277,15747,1879722,878179312,657,659,199741,4717,11129,3748584,226,228,379601,4666,96223,7927267,5106,18573,8016437,5888,781807,18442397,2118,29074,10235480,10369,376542,86811477,658,5478,1170433,4779,151671,17342811,447,670,22137311,144,306,1626637,3,16,103040,125,192,64340,15667,382561,627378780,1810,24542,72574004,15127,1292995,747014706
　　アルツハイマ－病,33187,922656,33187,2723949,1274143089,851,855,251446,3381,6878,2433633,66,52,138611,9618,159836,11977028,5350,21128,6572587,11583,1122281,18380876,4143,66777,19840019,3465,73527,14403522,19547,184292,34984750,7346,164941,15420881,364,627,3214522,47,118,207544,1,16,31330,107,221,75425,33150,917266,1132306584,425,5097,13900617,32024,2652721,1712345584
　　てんかん,12474,224491,12474,1214305,538925069,2142,2142,1011658,6837,14607,5827242,158,175,634741,5572,76483,7689933,4624,11213,4931960,7458,642852,11838390,1899,16151,6410345,4210,109537,26140245,2217,25096,4967665,3301,90935,12532000,334,559,16267186,226,351,1596108,10,48,216260,152,194,71430,11999,188992,297937149,5002,34939,140852972,11641,608002,390419344
　　脳性麻痺及びその他の麻痺性症候群,9295,267033,9295,1486155,555734624,120,120,42960,2372,4087,1668246,69,70,493687,4303,59553,5270893,2011,7690,1758698,6791,797366,11021484,818,6389,2415381,6786,141306,31631363,67,380,69500,5547,201735,25991605,133,234,4322548,169,250,2562398,3,18,44460,45,79,24890,9230,264229,460041452,296,2517,8372673,8805,752001,489749278
　　自律神経系の障害,2067,48814,2067,297914,124147958,126,126,42562,804,1637,500928,63,67,237103,903,18286,1466080,807,2776,918047,1007,124845,3262886,397,6147,2048671,1374,51408,11871477,44,250,48285,939,43384,10013124,83,111,977522,23,54,125440,-,-,-,27,40,12870,2049,45072,80150235,359,3711,12467024,1853,136643,82901962
　　その他の神経系の疾患,50508,812401,50508,4554620,2425376299,5242,5253,2013673,20601,42122,14415489,1553,1618,6023556,21324,332690,39601728,16713,56599,20966800,23717,1984354,38180730,8670,81588,47326233,20582,775588,183103233,3053,25648,5151300,14014,427913,124027881,4946,7210,147307517,4015,6882,30815524,83,498,1218728,1653,2344,1048950,48705,662954,1177820531,14868,141128,586343511,42852,2219779,1399729486
Ⅶ　眼及び付属器の疾患,58375,384904,58375,1862998,2168475548,2003,2006,620053,19322,32259,9419465,426,351,1231686,20830,322317,25212869,3960,18442,5678573,43423,842323,22590610,12765,40594,34575758,3183,142484,30685014,597,5729,1105075,12605,85684,19016216,23588,29779,622038695,17395,20049,16782237,51,346,381074,517,902,473595,55968,237483,1123356987,12478,82052,255392543,54508,936040,605678522
　　結膜炎,3264,52223,3264,316018,128471870,105,105,35830,963,2060,653993,51,47,198157,1771,37112,2687916,776,4009,1097923,2464,146626,2725645,1137,11501,4888049,873,32386,6729641,178,1794,328815,1365,29195,5919042,619,850,11670165,375,478,431151,4,44,61790,23,59,29850,3082,49716,90907152,8,36,105838,2803,135143,83635280
　　白内障,26774,125093,26774,526921,862454661,203,203,60716,4889,8151,2170805,106,76,228566,8589,109628,8374661,675,3997,1299410,21277,260167,7825322,5129,9002,5287267,605,27293,5896346,117,1129,228560,5103,16385,2634100,7126,8957,131824130,4746,5593,2151581,9,69,89152,64,153,73280,26471,75901,693777657,94,212,532934,25056,275792,180384396
　　屈折及び調節の障害,3755,23505,3755,159837,126879739,113,113,34021,1245,2213,642808,39,36,160065,2180,35757,2859495,319,2119,629488,3031,68928,2450563,1343,3823,2891330,292,18053,3994050,40,381,80645,1252,5212,1018518,1645,2144,34806536,1160,1401,625484,10,25,32640,44,109,57215,3687,19487,76583400,2,4,13139,3354,56195,36008540
　　その他の眼及び付属器の疾患,24582,184083,24582,860222,1050669278,1582,1585,489486,12225,19835,5951859,230,192,644898,8290,139820,11290797,2190,8317,2651752,16651,366602,9589080,5156,16268,21509112,1413,64752,14064977,262,2425,467055,4885,34892,9444556,14198,17828,443737864,11114,12577,13574021,28,208,197492,386,581,313250,22728,92379,262088778,12374,81800,254740632,23295,468910,305650306
Ⅷ　耳及び乳様突起の疾患,12425,94439,12425,509550,382967875,3879,3885,1607421,7423,13271,4101089,133,108,395511,2907,44066,4452303,4368,7379,3535825,8259,281106,4457169,2105,11483,5336827,959,30777,6693598,135,851,162755,1277,16015,7248794,2069,2916,79318862,1739,3092,15161859,19,136,291980,645,777,456340,11465,41983,82350108,9413,51654,167396373,11879,233651,153440066
　　外耳炎,230,4378,230,28199,11071178,16,16,5402,103,190,60880,4,3,21123,117,2834,216615,67,256,81727,158,14265,319134,65,725,413393,74,1867,400155,18,132,21995,99,3501,891023,33,41,477110,22,34,182175,1,14,18480,23,30,18700,211,3941,6853072,50,350,1090194,207,11685,7607966
　　その他の外耳疾患,252,5520,252,31784,13245284,9,9,4103,94,179,64395,4,4,20660,110,2168,189249,81,338,128814,158,15075,262643,63,569,291194,118,4851,1027723,11,77,16740,148,2898,940440,33,47,333860,23,35,179999,4,27,107650,16,18,9930,242,5327,9105811,38,162,562073,239,15605,10029398
　　中耳炎,1968,14759,1968,72824,78065029,293,294,133122,1058,1857,676443,13,11,73456,425,6766,656046,271,894,295391,1322,34477,658208,328,2102,1396371,126,4300,925263,16,104,18120,268,4194,1183606,1056,1653,23276356,828,1333,6538977,7,62,125520,112,127,77310,1748,7259,15205500,1464,7378,26824754,1811,34998,22488314
　　その他の中耳及び乳様突起の疾患,947,7818,947,24892,60126894,32,32,10789,650,1248,440184,9,8,26212,162,1585,206412,87,148,89227,475,10435,303801,79,291,424469,21,518,107071,7,62,12030,75,629,142532,642,705,30489084,599,1005,6091741,-,-,-,395,430,266370,817,1563,3336243,825,6233,18180729,929,18889,12451844
　　メニエ－ル病,1043,7843,1043,49628,19988198,344,344,142968,564,953,267140,8,5,14039,345,4849,491325,450,884,383041,739,30602,406375,303,1639,340794,70,1668,324484,11,35,8080,89,732,96162,16,47,335131,17,66,90042,-,-,-,7,11,4810,1005,4705,7236729,660,3088,9847078,1002,19987,12748238
　　その他の内耳疾患,5067,26791,5067,161653,90424948,2377,2379,1058159,2999,5179,1439813,35,29,77084,1127,14751,1460745,2558,3097,1805835,3258,97400,1148816,843,3399,681517,322,7363,1632694,24,72,13880,197,964,430706,98,113,2450482,65,113,574700,1,5,9000,50,77,37850,4819,8826,19655741,4131,17862,57947686,4852,61630,40994986
　　その他の耳疾患,2918,27330,2918,140570,110046344,808,811,252878,1955,3665,1152234,60,48,162937,621,11113,1231911,854,1762,751790,2149,78852,1358192,424,2758,1789089,228,10210,2276208,48,369,71910,401,3097,3564325,191,310,21956839,185,506,1504225,6,28,31330,42,84,41370,2623,10362,20957012,2245,16581,52943859,2839,70857,47119320
Ⅸ　循環器系の疾患,338848,5559813,338848,31161036,22366234331,49807,49835,19680633,179549,389738,125815598,7110,7061,26557253,141799,2465113,431222831,129076,440762,185093590,164476,11319476,199999972,69470,604325,293003449,160970,8879651,2166352733,4301,29065,5811790,79692,1275388,356815520,60456,114191,5442624583,22020,35498,274144060,1662,3506,2580896,8932,12966,6004720,321276,3996106,6816503591,150781,1536969,6012884303,319404,15989596,9856329260
　　高血圧性疾患,19921,342365,19921,1935456,672059171,1293,1294,496597,6907,14649,4798379,393,360,1232489,10919,214076,21327111,8877,40700,12489704,12968,975731,14333228,7977,70090,26190836,5568,178894,35916393,642,6279,1275660,6786,94905,23216063,1695,2717,45044310,909,2162,3475385,13,81,245880,720,1564,799590,19125,319381,438515237,1351,12540,42695294,18398,987092,585990366
　　虚血性心疾患,49227,361178,49227,3120431,3455265788,6850,6851,2810232,37800,81376,24110584,1101,1037,2966535,32981,299823,170411495,13376,41838,15230452,30974,2028903,39615733,9028,41739,20326964,8568,156365,36286955,428,2902,551355,8476,65877,38094238,17411,29237,1825131005,2170,3111,39270923,278,640,281740,781,1137,568610,45799,157403,293574103,37077,201885,945792557,47742,887340,602231744
　　その他の心疾患,79366,1173903,79366,6880260,5555616254,12941,12948,5178291,49228,111264,33918667,3062,3103,17310915,41630,821669,130890438,34479,138682,37607557,44403,3457922,70206163,20394,175715,80344842,28319,611911,133700663,1253,7262,1449450,23558,321286,105298442,14528,32962,1805525975,5201,7742,73453234,645,1219,423770,3582,4730,2033968,74681,678782,1190698757,43384,492473,1867451640,73231,3213617,2106384820
