ïΩê¨ÇQÇUîN,é–âÔà„ó√êfó√çsà◊ï í≤ç∏,ïΩê¨ÇQÇUîNÇUåéêRç∏ï™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ëÊÅ@ÇPï\,à„â»êfó√ÅiëçêîÅjÅ@åèêîÅEêfó√é¿ì˙êîÅEâÒêîÅEì_êîÅCèùïaï™óﬁÅAàÍî à„ó√Å|å„ä˙à„ó√ÅEîNóÓäKãâÅAêfó√çsà◊ÅiëÂï™óﬁÅjï ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇPÅjÅuåèêîÅvÇÕÅAñæç◊èëÇÃêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇQÅjÅuâÒêîÅvÇÕÅAìñäYêfó√çsà◊Ç™é¿é{Ç≥ÇÍÇΩâÑÇ◊éZíËâÒêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇRÅjëçêîÇ…ÇÕÅAÅuó√ó{íSìñéËìñìôÅvÅAÅuçáéZñÚç‹óøÅvÅAÅuï‚ê≥ì_êîÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇSÅjëçêîÇ…ÇÕÅAì¸â@éûêHéñó√ó{ìôÇä‹Ç‹Ç»Ç¢ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇTÅjëçêîÇ…ÇÕÅAÅuá]á]Å@èùïaãyÇ—éÄñSÇÃäOàˆÅvÅAÅuá]á]áTÅ@åíçNèÛë‘Ç…âeãøÇãyÇ⁄Ç∑óvàˆãyÇ—ï€åíÉTÅ[ÉrÉXÇÃóòópÅvÅAÅuá]á]áUÅ@ì¡éÍñ⁄ìIópÉRÅ[ÉhÅvÅAÅuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,åèêî,êfó√é¿ì˙êî,ëçêî,,èâ   ÅE  çƒ êf,,à„ äw ä« óù ìô,,ç›Å@ëÓÅ@à„Å@ó√,,åüÅ@Å@Å@Å@Å@ç∏,,âÊÅ@ëúÅ@êfÅ@íf,,ìäÅ@Å@Å@Å@Å@ñÚ,,íçÅ@Å@Å@Å@Å@éÀ,,ÉäÉnÉrÉäÉeÅ[ÉVÉáÉì,,ê∏ê_â»êÍñÂó√ñ@,,èàÅ@Å@Å@Å@Å@íu,,éËÅ@Å@Å@Å@Å@èp,,ñÉÅ@Å@Å@Å@Å@êå,,ï˙ éÀ ê¸ é° ó√,,ïa  óù  êf  íf,,ì¸  â@  óø  ìô,,êfífåQï™óﬁÇ…ÇÊÇÈïÔäáï]âøìô,,ì¸â@éûêHéñó√ó{ìô(ï åfÅFâ~),
,50Å`54çŒ,3932341,6936687,70999348,8814165234,5812869,769657285,2526249,423847587,109712,242816593,8651586,972380850,1199123,446431093,47379144,962197769,604480,552966255,925439,198440552,599769,198283713,1717520,624239494,67214,870670166,89408,134882478,25260,47654163,185227,67181307,812356,1236626614,293395,1064038038,2917711,1944988126
,55Å`59çŒ,4538160,8255666,90479013,11284808412,6763454,855894011,3287539,575646741,137696,300752892,10782141,1172698609,1387286,536408938,61628594,1217706018,727957,706353297,1255237,270492170,592814,191407983,2054386,880100925,83103,1183003402,104949,164662030,31747,63361608,170856,70002763,1066191,1619410454,404380,1473665786,3886501,2597913694
,60Å`64çŒ,6417717,12203858,137908494,17645216042,9793022,1179798406,5003468,899711796,201063,432777892,16785080,1789593509,2007241,804825550,94168420,1822678080,1123489,1081849454,2065837,445440285,708306,218430239,3117898,1439103694,126892,1979271565,154898,253404330,51344,105656060,219187,96092423,1697167,2608719425,684011,2483735082,6284121,4214155902
,65Å`69çŒ,7642697,15054986,174479620,22363083905,12029268,1384256710,6217155,1127353761,252962,538219751,21251326,2241307872,2446110,1013982429,119512092,2255676225,1542817,1297419880,2902424,624442557,670225,201936237,3971448,1740256922,160963,2634885142,209678,329319197,65401,138579049,252928,114472343,2051093,3310882846,942384,3406140682,8159790,5314460580
,70Å`74çŒ,8615834,18422517,208538663,26404572822,14732555,1614787119,7154023,1285338681,309928,646177365,24994087,2601362600,2943653,1193461602,141350607,2604815279,2345410,1494671959,4211585,883463294,600083,177401477,5410995,1817132874,189725,3183770280,330488,382433001,66266,143233501,258553,117245964,2485597,4161426811,1153815,4094069417,10000878,6460932360
,75Å`79çŒ,8074636,18912946,213046018,27233160268,14422802,1541098104,6904766,1235241034,402535,755330027,24226755,2471135627,2967732,1157478597,144376191,2564222390,2981012,1452144484,5326847,1111333890,521571,158800820,5662355,1669673213,186196,3007990286,429799,363263556,53690,118111346,219705,98066124,3114985,5217125389,1248099,4309544989,12163851,7751930238
,80Å`84çŒ,6597729,17304309,190198402,25609877269,11858192,1265464635,5808808,1035493015,575577,914559653,20369399,2010409344,2652027,945978711,128320759,2207607722,3192532,1261384055,6038039,1256154373,440415,143737344,5051798,1360574032,162285,2329776365,447477,283670224,29564,61433033,154357,65061253,3867056,6367619016,1229074,4098208361,14368735,8994361274
,85çŒà»è„,5812230,19060232,180920589,30024756483,9203530,1019274523,5041642,906296855,1317021,1710972297,18299580,1695236679,2688124,818678498,118408246,1934625182,3577112,1238036520,7905637,1635931329,433018,151747294,4997269,1140442347,159207,1790117794,350864,199499813,15986,30837222,100540,38391443,6927194,10952773286,1494739,4759661969,23676570,14384290012
áTÅ@ä¥êıè«ãyÇ—äÒê∂íéè«,ëçêî,3141345,5587134,38947523,5824368572,4595968,845513525,1738077,325492197,71233,153039111,6817590,779698337,499349,187220837,21658236,690858378,807699,387205740,393393,81787944,25495,8509006,1517484,323279679,27028,147647674,27852,23850068,3267,4862088,70816,28673085,445995,806511915,247619,1029383262,1678136,1086805702
,àÍî à„ó√,2722430,4394522,27915914,3962815770,3836392,752333799,1424500,272823317,19857,73644807,5321538,621804846,330699,126771193,14797886,552246565,495316,280006174,130673,28034252,19011,6091796,1153225,229168606,16775,86432383,12100,13256409,2273,3454096,58437,23142725,163370,329653613,133621,563346434,687625,456817702
,å„ä˙à„ó√,418915,1192612,11031609,1861552802,759576,93179726,313577,52668880,51376,79394304,1496052,157893491,168650,60449644,6860350,138611813,312383,107199566,262720,53753692,6484,2417210,364259,94111073,10253,61215291,15752,10593659,994,1407992,12379,5530360,282625,476858302,113998,466036828,990511,629988000
,00Å`04çŒ,462993,801817,2548087,559827578,510545,143605451,466172,170555499,414,2404895,419382,48778303,18814,3030992,951996,33459551,25071,6207123,1863,437488,33,12460,122287,14187339,907,2257044,98,347725,15,4218,202,63636,9599,38378909,20668,96086679,51702,33609466
,05Å`09çŒ,368479,554480,2180287,283616167,549861,124217904,115271,9842925,249,1716443,358170,38350925,10557,1908757,918841,31573283,23876,3508060,1624,372100,145,68085,192557,33561375,305,584205,36,76929,-,-,248,85720,2158,7821501,6356,29915550,15006,9817478
,10Å`14çŒ,168805,244522,1072381,128923599,241345,49624965,48646,2697406,180,1624503,180354,18460116,8916,2014756,476352,14451560,14490,2140717,1408,312280,179,75425,95404,18489921,194,425494,27,77779,8,880,187,82830,1922,5550339,2762,12892846,9188,6018138
,15Å`19çŒ,85310,119613,686396,85306103,113718,25289137,29368,1510767,216,1462276,148522,15521092,10242,3384696,325401,9343599,14072,3817494,1940,426320,282,125355,34667,5962128,218,983626,45,96393,-,-,1336,429092,3156,6704424,3196,10245816,12694,8330772
,20Å`24çŒ,112575,156645,958536,121888816,145891,33295798,41684,2213774,311,981492,235139,26230315,14502,4853318,443573,14587906,20914,5476781,1415,316102,501,151490,41103,6465996,598,1904552,88,120689,20,2310,4013,1053948,4358,9438876,4419,14790655,17563,11492984
,25Å`29çŒ,137140,191718,1182906,149560591,177140,38908123,50027,2809519,343,2073460,282660,32572206,15545,5205607,563004,22293218,24341,8661246,1505,326678,858,260745,52188,7638405,617,2425403,183,260001,12,1320,5254,1377375,5135,10248809,4086,14495379,20043,13007364
,30Å`34çŒ,152638,215539,1342249,172221498,199168,42060601,54901,3484936,461,4433656,317427,37127818,16378,5517191,649281,30348179,26716,10361087,1973,439600,1123,351160,58894,8450996,770,2798332,276,304724,28,51050,5262,1491778,5551,10883826,4031,14109143,21309,13800864
,35Å`39çŒ,160897,231158,1508322,203183953,216084,43231563,58226,4384606,701,6101234,345260,40622519,18304,6612597,754644,38544847,26087,13535834,3910,859341,1475,468515,65433,10830211,930,3817504,328,482116,10,1430,5140,1731306,7025,13739501,4744,18216546,27105,17948238
,40Å`44çŒ,151095,223151,1572240,220169768,209643,38898601,57291,5402460,882,6814787,344490,41582161,19298,7410478,824926,46468573,23759,15008286,3659,789301,1872,599779,65880,12839132,1017,4043837,491,549128,90,165280,5338,2071590,8245,15861441,5355,21637506,32314,21556402
,45Å`49çŒ,125968,194982,1497286,207665354,180966,31134605,52294,5679898,1124,5342834,308227,37253559,18748,7730471,826919,40881664,23160,19294665,5554,1177581,1843,612259,57599,12741449,1073,4601229,590,781830,149,146180,4487,1790932,8756,15949782,5794,22511251,35044,23428082
,50Å`54çŒ,122683,200609,1653957,226182975,183513,29524670,56932,6960515,1406,5911578,322731,39147330,20488,8819563,949559,39828988,29035,23544189,9598,2109570,1972,665674,54570,14032734,1115,5287232,706,838340,119,155550,4189,1812575,11507,20748398,6486,26745891,44724,30022840
,55Å`59çŒ,131092,221934,1956682,269845979,200183,30496459,67159,8989511,1864,6378716,368929,44570011,24981,11027129,1157329,44847577,35457,30107772,11710,2544899,2301,682126,57213,16685924,1368,8220575,1048,1344220,188,251468,4226,2021073,14043,25001315,8639,36600427,55532,37479208
,60Å`64çŒ,170805,308140,2775745,399598311,271709,38841018,94538,13642313,3173,9369106,518891,62384697,38361,16970951,1642410,60592536,53962,45146165,22683,4837679,2672,878444,78684,25373437,2312,13039928,1733,1778069,494,737616,5758,2840382,23884,43452095,14461,59582364,95236,64379828
,65Å`69çŒ,186499,358620,3404562,481926935,310004,41431357,112043,16905893,4327,10686114,590557,70769378,46160,20722001,2088969,66066672,68788,49705504,29650,6347277,2330,674279,88303,29822660,2629,15406438,2567,2802262,427,809912,6351,3151101,30431,55289291,20988,91171221,128854,85456008
,70Å`74çŒ,196628,414046,3961336,548904184,350127,44290960,127981,19813727,6109,14014533,631535,73596303,54893,23464664,2462105,65366466,93358,49450503,42775,8932869,2267,693465,108254,30260547,3225,23798782,4223,3762354,725,1117552,6744,3275325,40715,71794905,26292,115159058,167682,110346292
,75Å`79çŒ,166677,403037,3895401,553339057,316912,38647830,121387,19583594,8477,16143986,556688,63174355,55282,22768907,2457638,53856247,105770,38030827,61884,12836882,1950,658135,107600,27902613,3408,21966908,5709,4151955,518,817670,5610,2635491,54637,96019746,31868,134072915,218786,142146042
,80Å`84çŒ,128184,359092,3438894,543583185,242558,29501201,99850,16558198,12877,20645788,456163,48269416,51760,18695867,2167748,42096731,99324,30078389,76497,15503826,1808,634870,107077,25485571,3077,17986418,5547,3484288,298,374630,3819,1677640,76185,129751494,34270,142799197,279234,178499528
,85çŒà»è„,112877,388031,3312256,668624519,176601,22513282,84307,14456656,28119,36933710,432465,41287833,56120,17082892,1997541,36250781,99519,33131098,113745,23218151,1884,896740,129771,22549241,3265,18100167,4157,2591266,166,225022,2652,1081291,138688,229877263,43204,168350818,446120,279466168
áUÅ@êVê∂ï®,ëçêî,3016386,7774071,66020842,26963373446,4249555,469688690,2268654,596004605,150319,300983412,13237832,1881464748,2341799,1856453833,35721676,1242763040,1263674,3067230238,923118,203601892,20785,6064431,780190,281888736,277913,4293501668,190031,773458602,324420,687736220,837402,348850026,1223806,2737880505,2207798,8213900029,7913853,5221768438
,àÍî à„ó√,2114230,4984313,40400992,18049663848,2923813,335615640,1422628,377771229,50406,121430534,8781572,1307103043,1596719,1320720916,20817192,842896234,748145,2199995451,428423,98391159,13843,3974478,393664,143221473,191246,3051403241,136217,579983430,241369,504402669,657460,267270251,562868,1394591128,1433932,5499514470,4471966,2983908496
,å„ä˙à„ó√,902156,2789758,25619850,8913709598,1325742,134073050,846026,218233376,99913,179552878,4456260,574361705,745080,535732917,14904484,399866806,515529,867234787,494695,105210733,6942,2089953,386526,138667263,86667,1242098427,53814,193475172,83051,183333551,179942,81579775,660938,1343289377,773866,2714385559,3441887,2237859942
,00Å`04çŒ,14784,29775,111311,105404058,16185,3211286,4892,1657299,138,520066,23735,3082252,3380,1626406,36149,1041294,6094,4655596,1093,262711,5,1370,2786,5876600,1706,14681304,1642,5776884,430,539565,739,418630,5409,20528490,6896,41523311,26866,17557370
,05Å`09çŒ,10686,22065,106788,71511117,13585,2264658,2940,834308,188,1064350,24959,2989658,4446,2654959,40095,1634488,4663,5230681,1359,304877,11,4740,2810,1002045,1331,8330013,650,1978228,308,475082,843,467030,4092,14584579,4508,27690388,19287,12620996
,10Å`14çŒ,12125,24657,123645,79331791,16081,2633872,3594,906952,167,1531545,28162,3595990,8725,5337734,44155,2355688,4788,7569272,2459,554489,59,28225,2793,649067,1731,11136645,429,1628841,491,755229,1343,763008,4404,15136400,4249,24745587,19939,13043558
,15Å`19çŒ,15223,28390,170456,76809819,20416,3409861,4758,1027060,150,909654,51035,7071479,11197,7343353,59167,3134854,4002,6943109,2885,635600,89,30290,2903,833287,1860,13501748,438,2047088,361,580520,3160,1451693,2896,6740368,5127,21122575,18049,11832628
,20Å`24çŒ,26873,46614,285612,116824208,35373,5815555,8364,1698952,149,475853,86469,14152107,13800,10040362,104617,5512548,3890,7651049,3091,721847,196,55475,5357,1145543,2618,21390571,1070,4735212,509,1019658,9259,3189017,3165,8905133,7679,30314135,23705,15597094
,25Å`29çŒ,47365,80864,491541,201524902,61317,9506734,14811,3111876,263,832276,145182,24796934,21396,16025856,184135,10895075,6605,13823155,5549,1331069,233,69090,9148,1497882,4198,39996947,2105,9117391,1163,2556764,17696,5782627,4930,14136617,12796,48101973,38441,25271828
,30Å`34çŒ,72484,126285,781054,330112583,94570,13864822,24552,5558977,447,1443852,224369,38351567,35290,26061089,302852,15681038,10980,27156011,5826,1421547,343,104380,12385,2479881,6168,68040096,3725,15544727,2853,5698870,28398,9295432,7601,22281434,20683,77065590,61305,40211660
,35Å`39çŒ,109765,195035,1277921,547895820,145761,20098315,41421,9805437,797,1999610,356105,60123315,60216,46417527,516590,26483461,19887,61454685,9741,2338677,677,214150,17661,3673264,8745,108252217,5951,24865004,5338,10585484,43840,14695655,12013,33986387,33048,122881032,97630,64280744
,40Å`44çŒ,157100,289769,2060406,900380898,210134,27177730,69291,17333691,1409,3693219,534040,88513140,94765,74790538,905023,41470844,33754,118915022,14855,3560040,976,288060,22995,5648252,12303,177052126,9225,39531525,13038,24895367,65029,22552425,19444,52054667,54076,202786681,158725,104882904
,45Å`49çŒ,180089,348370,2635186,1148854971,242667,30057405,91401,23227744,1773,5149366,633428,103056190,114438,92948666,1242095,54778355,46731,162501219,17545,4135537,1364,407540,25655,7323782,13567,211985726,10647,45728736,18759,34085672,76260,26113957,25581,67293362,73222,279975145,213333,141235062
,50Å`54çŒ,182857,385139,3073452,1358048794,248303,29062284,110190,28905843,2574,7004125,690059,109568428,132290,110969959,1530904,66627287,54936,194378681,27653,6541146,1568,442360,27962,10561460,14091,225923554,10418,45283119,21010,40757323,70800,25760101,35295,87030655,95264,369064097,284369,189346318
,55Å`59çŒ,199790,478152,3942949,1821145181,274339,30299347,142506,38765139,4356,10658131,848716,126870773,165256,142543554,2037914,90714666,74512,253200462,38678,8901012,1549,443449,36877,16789187,17468,288906238,12401,53603496,26485,54275082,64722,26899198,56806,134259130,140163,543780707,434291,290096664
,60Å`64çŒ,299867,781081,6523991,3097849794,420271,44204685,234630,64343151,8404,20224451,1373069,198813153,259239,221125028,3440226,145879666,125922,402456901,72387,16691069,2153,642177,58812,30159703,28741,509636055,21205,91024980,42943,90736955,84157,38296733,97076,238361182,254434,984965127,782158,524595352
,65Å`69çŒ,382487,1047714,8973382,4080959987,545661,55631555,317680,87225674,13814,32214070,1827946,257857877,334201,281488594,4863545,188050228,170217,479876081,103669,23649408,2426,664233,83861,40816053,37964,667194761,27777,119540764,54937,119734285,97831,46653798,137930,332099794,353615,1348038177,1108334,740705744
,70Å`74çŒ,420140,1174372,10498459,4362657037,613283,61438722,367896,98735789,18595,40591291,2033120,281063309,355612,293921968,5895944,200545598,192578,474153713,137741,30818292,2651,715849,104860,43046975,40790,712871685,29547,123776973,54907,121774075,96912,46589477,167124,388686529,386682,1443670158,1283760,856074088
,75Å`79çŒ,386771,1107748,10328337,3847699031,571933,56879385,355193,93372983,23093,47735058,1903969,256162735,323584,254848540,5959943,175605190,193774,399039055,158104,34406026,2795,822460,118204,43523296,36329,590259496,24506,96173768,43967,100371962,82252,38917644,189579,414572184,340973,1244844298,1251022,830128602
,80Å`84çŒ,294395,885333,8412614,2824347767,435084,43947151,281130,71717974,27906,52198459,1454798,187345492,239214,171785147,4958879,131704624,164706,279559731,158749,33855920,2129,661675,115556,36624803,27819,399958932,17877,61924491,24033,52109911,57810,25870918,196894,408033576,249915,866836136,1068586,698452976
,85çŒà»è„,203585,722708,6223738,1992015688,284592,30185323,193405,47775756,46096,72738036,998671,118050349,164750,96524553,3599443,80648136,145635,168665815,161734,33472625,1561,468908,129565,30237656,20484,224383554,10418,31177375,12888,26784416,36351,15132683,253567,479190018,164468,536494912,1024053,645834850
áVÅ@ååâtãyÇ—ë¢ååäÌÇÃéæä≥ï¿Ç—Ç…ñ∆âuã@ç\ÇÃè·äQ,ëçêî,483950,1034534,11943071,2178808757,684250,84069535,331276,63215874,26150,175540713,2588832,257939390,153926,61597937,7336989,149700264,202449,289344148,134277,27893263,15359,5168394,134577,94354677,35885,169446441,5535,9213599,3994,4424952,20551,8240133,165307,289705511,103522,488458301,665398,429519668
,àÍî à„ó√,361047,672281,7424428,1331989213,492461,63265398,210896,38149227,8224,146907940,1841723,183843109,90047,38780670,4398220,98360110,122050,219771851,39599,8502536,11905,4160119,57498,48206699,17488,96439687,2904,6024222,2918,3367770,16101,6020937,59802,115614911,52419,254125560,272421,178344424
,å„ä˙à„ó√,122903,362253,4518643,846819544,191789,20804137,120380,25066647,17926,28632773,747109,74096281,63879,22817267,2938769,51340154,80399,69572297,94678,19390727,3454,1008275,77079,46147978,18397,73006754,2631,3189377,1076,1057182,4450,2219196,105505,174090600,51103,234332741,392977,251175244
,00Å`04çŒ,10866,23168,124744,51680646,13271,2232081,8526,2896013,162,5717834,47294,5226397,1772,394984,43858,990618,2110,5429106,667,158815,-,-,1475,228981,304,1404940,102,300681,80,70112,73,48550,2064,8060881,2973,18519043,10266,6650058
,05Å`09çŒ,5304,11052,69357,38007972,7530,1093765,1983,431251,216,11074310,26674,2510804,841,221602,26278,676017,880,3975815,548,123879,14,7570,483,73468,92,358705,62,126006,10,1100,51,30490,1139,3993312,2556,13162802,8414,5522248
,10Å`14çŒ,8756,14625,119026,39871762,12929,2178440,2552,403689,242,17978562,49494,4186169,1163,387778,48420,1019901,1661,4679562,151,32180,107,54790,261,33802,133,616374,23,58222,18,1980,47,27170,738,2521404,1086,5690052,4326,2829110
,15Å`19çŒ,13653,22180,196071,50601910,19406,3447672,3773,469236,206,24306802,75110,6247693,1973,648775,88541,2057255,2907,4815791,582,120557,251,122260,793,193475,284,1364017,31,67842,29,4580,184,93670,1117,2268544,883,4371539,4594,3007936
,20Å`24çŒ,14049,24636,213921,42075211,15654,2518924,5315,588515,170,12176195,66735,6270207,1869,645870,113904,2380524,3485,5532469,604,131415,481,209625,1721,399322,394,2644401,86,211503,27,4470,489,156484,1755,3138931,1182,5055973,7255,4567878
,25Å`29çŒ,25025,45658,389122,61572905,22512,3237189,10738,987811,263,14238568,94907,9497934,2872,1020669,239139,3607034,7252,10113474,394,86845,691,290330,3185,599775,756,5468330,243,453657,39,29190,923,274644,3947,5904367,1260,5762509,12742,7494714
,30Å`34çŒ,33448,61394,524303,74325357,31431,4283899,14765,1417213,311,10318126,126457,12880085,4021,1404556,321827,5365168,10272,13315258,761,169113,944,344970,4280,1054075,1027,8159855,376,674815,64,36110,1218,355452,5174,7572445,1369,6894925,15793,9248870
